ID,Title,Episodes,ProductionHouse,Genres,Type,Year,Rating,ProductionHouse_Merged,Genres_Merged
219,"Star Driver the Movie",1,"['Bones', 'Aniplex', 'Dentsu', 'Square Enix', 'Mainichi Broadcasting', 'Bandai Namco Games']","['Action', 'Mecha', 'Shounen']",Movie,2013-2013,PG-13,BonesAniplexDentsuSquareEnixMainichiBroadcastingBandaiNamcoGames,ActionMechaShounen
1249,"Hajime no Ippo (Fighting Spirit)",75,"['Madhouse', 'VAP', 'Geneon Universal Entertainment']","['Comedy', 'Drama', 'Shounen', 'Sports']",TV,2000-2002,PG-13,MadhouseVAPGeneonUniversalEntertainment,ComedyDramaShounenSports
1,"Sen to Chihiro no Kamikakushi (Spirited Away)",1,"['Studio Ghibli', 'Studio Hibari', 'Walt Disney Studios', 'GKids']","['Adventure', 'Drama', 'Supernatural']",Movie,2001-2001,G,StudioGhibliStudioHibariWaltDisneyStudiosGKids,AdventureDramaSupernatural
6,"Hotarubi no Mori e",1,"['Aniplex', 'Brains Base']","['Drama', 'Romance', 'Shoujo', 'Supernatural']",Movie,2011-2011,G,AniplexBrainsBase,DramaRomanceShoujoSupernatural
1438,"Suzumiya Haruhi no Yuuutsu (The Melancholy of Haruhi Suzumiya)",14,"['Kyoto Animation', 'FUNimation Entertainment', 'Lantis', 'Bandai Entertainment', 'Kadokawa Pictures USA']","['Comedy', 'Mystery', 'Parody', 'School', 'Sci-Fi', 'Slice of Life']",TV,2006-2006,PG-13,KyotoAnimationFUNimationEntertainmentLantisBandaiEntertainmentKadokawaPicturesUSA,ComedyMysteryParodySchoolSci-FiSliceofLife
970,"Grisaia no Meikyuu Special",1,"['Frontier Works', '8bit']","['Comedy', 'Ecchi']",Special,2015-2015,R+,FrontierWorks8bit,ComedyEcchi
1370,"Higurashi no Naku Koro ni (When They Cry)",26,"['Geneon Universal Entertainment', 'Studio Deen', 'Frontier Works', 'Sotsu Agency', 'FUNimation Entertainment', 'DAX Production', 'Sentai Filmworks']","['Horror', 'Mystery', 'Psychological', 'Supernatural', 'Thriller']",TV,2006-2006,R,GeneonUniversalEntertainmentStudioDeenFrontierWorksSotsuAgencyFUNimationEntertainmentDAXProductionSentaiFilmworks,HorrorMysteryPsychologicalSupernaturalThriller
470,"Noragami OVA",2,"['Bones', 'Avex Entertainment', 'Ai Addiction']","['Action', 'Adventure', 'Shounen']",OVA,2014-2014,PG-13,BonesAvexEntertainmentAiAddiction,ActionAdventureShounen
436,"Sekaiichi Hatsukoi OVA",2,"['Studio Deen']","['Comedy', 'Drama', 'Romance', 'Shounen Ai']",OVA,2011-2011,PG-13,StudioDeen,ComedyDramaRomanceShounenAi
895,"Hajime no Ippo Special (Fighting Spirit Special)",1,"['Madhouse', 'VAP', 'Geneon Universal Entertainment']","['Comedy', 'Drama', 'Shounen', 'Sports']",Special,2003-2003,PG-13,MadhouseVAPGeneonUniversalEntertainment,ComedyDramaShounenSports
442,"SKET Dance OVA",1,"['Tatsunoko Productions']","['Comedy', 'School', 'Shounen']",OVA,2013-2013,PG-13,TatsunokoProductions,ComedySchoolShounen
129,"Sidonia no Kishi Movie",1,"['Polygon Pictures']","['Action', 'Mecha', 'Sci-Fi', 'Seinen', 'Space']",Movie,2015-2015,R,PolygonPictures,ActionMechaSci-FiSeinenSpace
1383,"Durarara!!x2 Shou",12,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting', 'Movic', 'Aniplex of America', 'ASCII Media Works', 'Studio Shuka ']","['Action', 'Mystery', 'Supernatural']",TV,2015-2015,R,AniplexSquareEnixMainichiBroadcastingMovicAniplexofAmericaASCIIMediaWorksStudioShuka,ActionMysterySupernatural
41,"Death Billiards",1,"['Madhouse']","['Game', 'Psychological']",Movie,2013-2013,R,Madhouse,GamePsychological
900,"Gekkan Shoujo Nozaki-kun Specials",6,"['Doga Kobo', 'Media Factory']","['Comedy', 'Romance', 'School']",Special,2014-2015,PG-13,DogaKoboMediaFactory,ComedyRomanceSchool
1011,"Gugure! Kokkuri-san Specials",6,"['TMS Entertainment']","['Comedy', 'Romance', 'Shounen', 'Supernatural']",Special,2014-2015,PG-13,TMSEntertainment,ComedyRomanceShounenSupernatural
26,"Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie",1,"['Aniplex', 'A-1 Pictures', 'Aniplex of America']","['Drama', 'Slice of Life', 'Supernatural']",Movie,2013-2013,PG-13,AniplexA-1PicturesAniplexofAmerica,DramaSliceofLifeSupernatural
2010,"Pokemon XY",93,"['TV Tokyo', 'Oriental Light and Magic', 'The Pokemon Company International']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",TV,2013-2015,PG,TVTokyoOrientalLightandMagicThePokemonCompanyInternational,ActionAdventureComedyFantasyKids
897,"Durarara!! Specials",2,"['Aniplex', 'Brains Base', 'Aniplex of America']","['Action', 'Comedy', 'Supernatural']",Special,2010-2011,R,AniplexBrainsBaseAniplexofAmerica,ActionComedySupernatural
60,"Giovanni no Shima (Giovanni&#039;s Island)",1,"['Production I.G', 'Warner Bros.']","['Drama', 'Historical']",Movie,2014-2014,PG-13,ProductionI.GWarnerBros.,DramaHistorical
1218,"Gangsta. Recap (Gangsta.)",1,"['Manglobe']","['Action', 'Drama', 'Seinen']",Special,2015-2015,R,Manglobe,ActionDramaSeinen
29,"Stand By Me Doraemon",1,"['Shirogumi', 'Toho Company', 'Shin-Ei Animation', 'Robot']","['Comedy', 'Kids', 'Sci-Fi', 'Shounen']",Movie,2014-2014,PG,ShirogumiTohoCompanyShin-EiAnimationRobot,ComedyKidsSci-FiShounen
1434,"Soul Eater",51,"['Bones', 'TV Tokyo', 'Aniplex', 'Dentsu', 'FUNimation Entertainment', 'Media Factory']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Supernatural']",TV,2008-2009,PG-13,BonesTVTokyoAniplexDentsuFUNimationEntertainmentMediaFactory,ActionAdventureComedyFantasyShounenSupernatural
1444,"Initial D Second Stage",13,"['OB Planning', 'FUNimation Entertainment', 'Fuji TV', 'Pastel']","['Action', 'Cars', 'Drama', 'Seinen', 'Sports']",TV,1999-2000,PG-13,OBPlanningFUNimationEntertainmentFujiTVPastel,ActionCarsDramaSeinenSports
1022,"Tokyo Magnitude 8.0 Recap",1,"['Bones', 'Kinema Citrus', 'Maiden Japan']","['Drama']",Special,2009-2009,PG-13,BonesKinemaCitrusMaidenJapan,Drama
1639,"Doraemon (1979) (Doraemon)",1787,"['TV Asahi', 'Asatsu DK', 'Shin-Ei Animation']","['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Sci-Fi', 'Shounen']",TV,1979-2005,PG,TVAsahiAsatsuDKShin-EiAnimation,AdventureComedyFantasyKidsSci-FiShounen
1113,"Fate/kaleid liner Prisma☆Illya 2wei! Specials",5,"['Lantis', 'Silver Link', 'DAX Production']","['Comedy', 'Ecchi', 'Fantasy', 'Magic']",Special,2014-2015,PG-13,LantisSilverLinkDAXProduction,ComedyEcchiFantasyMagic
274,"Onigamiden (Legend of the Millennium Dragon)",1,"['Studio Pierrot', 'Sony Music Entertainment', 'Atelier Musa']","['Action', 'Demons', 'Supernatural']",Movie,2011-2011,PG-13,StudioPierrotSonyMusicEntertainmentAtelierMusa,ActionDemonsSupernatural
1104,"Mayoi Neko Overrun! Specials",6,"['AIC']","['Comedy', 'Ecchi']",Special,2010-2010,R+,AIC,ComedyEcchi
2852,"Final Approach",13,"['Trinet Entertainment', 'Zexcs']","['Comedy', 'Drama', 'Romance', 'Slice of Life']",TV,2004-2004,PG-13,TrinetEntertainmentZexcs,ComedyDramaRomanceSliceofLife
2668,"Hurricane Polymar",26,"['Tatsunoko Productions']","['Action', 'Adventure', 'Police', 'Sci-Fi', 'Super Power']",TV,1974-1975,PG-13,TatsunokoProductions,ActionAdventurePoliceSci-FiSuperPower
2517,"Kishin Taisen Gigantic Formula",26,"['Bandai Visual', 'Brains Base', 'TV Tokyo Music']","['Mecha', 'Sci-Fi']",TV,2007-2007,PG-13,BandaiVisualBrainsBaseTVTokyoMusic,MechaSci-Fi
2537,"Senkou no Night Raid (Night Raid 1931)",13,"['TV Tokyo', 'Aniplex', 'A-1 Pictures', 'Sentai Filmworks']","['Action', 'Historical', 'Military', 'Super Power']",TV,2010-2010,R,TVTokyoAniplexA-1PicturesSentaiFilmworks,ActionHistoricalMilitarySuperPower
1063,"Senkou no Night Raid Specials (Night Raid 1931 Specials)",3,"['Aniplex', 'A-1 Pictures', 'Sentai Filmworks']","['Action', 'Historical', 'Military', 'Super Power']",Special,2010-2010,R,AniplexA-1PicturesSentaiFilmworks,ActionHistoricalMilitarySuperPower
1183,"Ghiblies",2,"['Studio Ghibli']","['Comedy']",Special,2000-2002,PG,StudioGhibli,Comedy
1105,"Mokei Senshi Gunpla Builders Beginning G",3,"['Sunrise']","['Action', 'Mecha', 'Sci-Fi', 'Shounen']",Special,2010-2010,G,Sunrise,ActionMechaSci-FiShounen
204,"Venus Wars",1,"['Shochiku', 'Gakken', 'Discotek']","['Action', 'Adventure', 'Sci-Fi', 'Space']",Movie,1989-1989,PG-13,ShochikuGakkenDiscotek,ActionAdventureSci-FiSpace
2505,"Neo Angelique Abyss",13,"['Yumeta Company', 'Koei', 'Sentai Filmworks']","['Comedy', 'Fantasy', 'Harem', 'Romance', 'Shoujo']",TV,2008-2008,PG-13,YumetaCompanyKoeiSentaiFilmworks,ComedyFantasyHaremRomanceShoujo
2757,"Iketeru Futari",16,"['J.C.Staff', 'TBS']","['Comedy', 'Ecchi', 'Romance', 'School', 'Seinen']",TV,1999-1999,R+,J.C.StaffTBS,ComedyEcchiRomanceSchoolSeinen
775,"DNA² OVA",3,"['Madhouse', 'Bandai Visual', 'Movic', 'Central Park Media', 'Discotek']","['Comedy', 'Drama', 'Sci-Fi']",OVA,1995-1995,PG-13,MadhouseBandaiVisualMovicCentralParkMediaDiscotek,ComedyDramaSci-Fi
1722,"Trapp Ikka Monogatari (The Trapp Family Story)",40,"['Nippon Animation', 'Fuji TV']","['Drama', 'Historical', 'Music', 'Romance']",TV,1991-1991,G,NipponAnimationFujiTV,DramaHistoricalMusicRomance
3081,"Fushigi na Koala Blinky (Noozles)",26,"['Nippon Animation']","['Adventure', 'Comedy', 'Fantasy', 'Kids']",TV,1984-1984,G,NipponAnimation,AdventureComedyFantasyKids
826,"Soukou Kihei Votoms Recaps (Armored Trooper Votoms Recaps)",4,"['Sunrise']","['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",OVA,1986-1988,None,Sunrise,ActionDramaMechaMilitarySci-Fi
2344,"Shippuu! Iron Leaguer",52,"['Sunrise']","['Sci-Fi', 'Shounen', 'Sports']",TV,1993-1994,PG-13,Sunrise,Sci-FiShounenSports
755,"Hanaukyou Maid-tai OVA (Maid in Hanaukyo)",3,"['Daume', 'm.o.e.']","['Comedy', 'Ecchi', 'Harem', 'Romance']",OVA,2001-2001,R+,Daumem.o.e.,ComedyEcchiHaremRomance
1027,"Toaru Majutsu no Index Specials",2,"['J.C.Staff']","['Comedy', 'Parody']",Special,2009-2009,PG-13,J.C.Staff,ComedyParody
2520,"Ore ga Ojousama Gakkou ni &quot;Shomin Sample&quot; Toshite Gets♥Sareta Ken",12,"['FUNimation Entertainment', 'Silver Link']","['Comedy', 'Ecchi', 'Harem', 'Romance', 'School']",TV,2015 -2015 ,PG-13,FUNimationEntertainmentSilverLink,ComedyEcchiHaremRomanceSchool
2884,"Amaenaide yo!! (Ah My Buddha)",12,"['Studio Deen', 'Right Stuf', 'Media Blasters']","['Comedy', 'Ecchi', 'Harem', 'Romance', 'Supernatural']",TV,2005-2005,R+,StudioDeenRightStufMediaBlasters,ComedyEcchiHaremRomanceSupernatural
1101,"Di Gi Charat Ohanami Special",4,"['TBS']","['Comedy']",Special,2001-2001,G,TBS,Comedy
2399,"Medarot (Medabots)",52,"['Bee Train', 'Production I.G', 'ADV Films', 'NAS', 'Nelvana']","['Adventure', 'Comedy', 'Sci-Fi', 'Shounen']",TV,1999-2000,PG,BeeTrainProductionI.GADVFilmsNASNelvana,AdventureComedySci-FiShounen
2830,"Tokyo Underground",26,"['Studio Pierrot', 'TV Tokyo Music']","['Action', 'Adventure', 'Romance', 'Sci-Fi', 'Shounen', 'Super Power']",TV,2002-2002,PG-13,StudioPierrotTVTokyoMusic,ActionAdventureRomanceSci-FiShounenSuperPower
2432,"CLAMP Gakuen Tanteidan (CLAMP School Detectives)",26,"['Studio Pierrot', 'Bandai Visual', 'Bandai Entertainment']","['Action', 'Comedy', 'Mystery']",TV,1997-1997,G,StudioPierrotBandaiVisualBandaiEntertainment,ActionComedyMystery
263,"Himeyuri",1,"['Himeyuri Alumnae Incorporated Foundation', 'ASIA Documentary Productions']","['Drama', 'Historical']",Movie,2012-2012,G,HimeyuriAlumnaeIncorporatedFoundationASIADocumentaryProductions,DramaHistorical
2419,"Captain Future",52,"['Toei Animation']","['Action', 'Adventure', 'Sci-Fi', 'Shounen']",TV,1978-1979,PG-13,ToeiAnimation,ActionAdventureSci-FiShounen
2856,"Kurogane Communication",24,"['APPP', 'Pony Canyon', 'Media Blasters']","['Action', 'Adventure', 'Drama', 'Sci-Fi']",TV,1998-1999,R+,APPPPonyCanyonMediaBlasters,ActionAdventureDramaSci-Fi
2145,"Onmyou Taisenki",52,"['Sunrise']","['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",TV,2004-2005,G,Sunrise,AdventureFantasyShounenSupernatural
2665,"Chikyuu Bouei Kazoku (The Daichis: Earth Defence Family)",13,"['Bandai Visual', 'Group TAC']","['Action', 'Comedy', 'Sci-Fi', 'Shounen']",TV,2001-2001,PG-13,BandaiVisualGroupTAC,ActionComedySci-FiShounen
1168,"Chikyuu Bouei Kazoku Special",1,"['Bandai Visual', 'Group TAC']","['Comedy', 'Kids', 'Mecha', 'School', 'Super Power']",Special,2001-2001,PG-13,BandaiVisualGroupTAC,ComedyKidsMechaSchoolSuperPower
427,"Hana no Kage (Shadow of the Cherry Blossoms)",1,"['None found', 'add some']","['Demons', 'Drama', 'Historical', 'Romance']",ONA,2006-2006,PG-13,Nonefoundaddsome,DemonsDramaHistoricalRomance
1225,"To Heart 2 Special",1,"['Oriental Light and Magic']","['Drama', 'Romance', 'School']",Special,2005-2005,PG-13,OrientalLightandMagic,DramaRomanceSchool
302,"Great Mazinger tai Getter Robo",1,"['Dynamic Planning']","['Action', 'Mecha', 'Sci-Fi']",Movie,1975-1975,PG-13,DynamicPlanning,ActionMechaSci-Fi
1015,"Girls und Panzer Specials (Girls &amp; Panzer OVAs)",6,"['Actas', 'Sentai Filmworks']","['Military', 'School']",Special,2012-2013,PG-13,ActasSentaiFilmworks,MilitarySchool
651,"Itsuka Tenma no Kuro Usagi OVA",1,"['Zexcs']","['Comedy', 'Ecchi', 'Romance', 'Shounen', 'Supernatural', 'Vampire']",OVA,2011-2011,R,Zexcs,ComedyEcchiRomanceShounenSupernaturalVampire
1845,"Sword Art Online II",24,"['Aniplex', 'A-1 Pictures', 'Genco', 'Aniplex of America']","['Action', 'Adventure', 'Fantasy', 'Game', 'Romance']",TV,2014-2014,PG-13,AniplexA-1PicturesGencoAniplexofAmerica,ActionAdventureFantasyGameRomance
1148,"Kämpfer für die Liebe",2,"['J.C.Staff', 'Nomad', 'Lantis', 'DAX Production', 'Sentai Filmworks']","['Action', 'Comedy', 'Ecchi', 'Shoujo Ai', 'Super Power']",Special,2011-2011,R+,J.C.StaffNomadLantisDAXProductionSentaiFilmworks,ActionComedyEcchiShoujoAiSuperPower
799,"Crusher Joe (1989)",2,"['Studio Nue']","['Action', 'Adventure', 'Sci-Fi']",OVA,1989-1989,R,StudioNue,ActionAdventureSci-Fi
2198,"Grander Musashi RV",39,"['Nippon Animation', 'Shogakukan Productions', 'Sotsu Agency']","['Adventure', 'Sports']",TV,1998-1998,PG-13,NipponAnimationShogakukanProductionsSotsuAgency,AdventureSports
2549,"Kiddy GiRL-AND",24,"['Satelight', 'Kadokawa Shoten', 'gimik']","['Action', 'Comedy', 'Sci-Fi', 'Super Power']",TV,2009-2010,PG-13,SatelightKadokawaShotengimik,ActionComedySci-FiSuperPower
2628,"Pokemon Best Wishes! (Pokemon: Black &amp; White)",84,"['TV Tokyo', 'Oriental Light and Magic', 'Viz Media', 'MediaNet', 'Half H.P Studio', 'The Pokemon Company International', 'Studio Jack']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",TV,2010-2012,PG,TVTokyoOrientalLightandMagicVizMediaMediaNetHalfH.PStudioThePokemonCompanyInternationalStudioJack,ActionAdventureComedyFantasyKids
2918,"Futakoi (Twin Love)",13,"['Telecom Animation Film', 'Lantis']","['Comedy', 'Romance', 'School']",TV,2004-2004,PG,TelecomAnimationFilmLantis,ComedyRomanceSchool
2013,"Tenkuu Senki Shurato",38,"['Tatsunoko Productions']","['Action', 'Fantasy', 'Magic', 'Shounen']",TV,1989-1990,PG-13,TatsunokoProductions,ActionFantasyMagicShounen
322,"Wonderful Rush",1,"['Sunrise', 'Lantis']","['Music']",Music,2012-2012,PG-13,SunriseLantis,Music
2501,"Dear Boys (Hoop Days)",26,"['OB Planning', 'Bandai Entertainment']","['Drama', 'Shounen', 'Sports']",TV,2003-2003,PG-13,OBPlanningBandaiEntertainment,DramaShounenSports
1942,"Cuticle Tantei Inaba (Cuticle Detective Inaba)",12,"['Zexcs', 'Sentai Filmworks']","['Action', 'Comedy', 'Mystery', 'Shounen', 'Supernatural']",TV,2013-2013,PG-13,ZexcsSentaiFilmworks,ActionComedyMysteryShounenSupernatural
2328,"Air Master",27,"['Toei Animation', 'VAP', 'Nippon Television Network Corporation']","['Adventure', 'Comedy', 'Shounen']",TV,2003-2003,R,ToeiAnimationVAPNipponTelevisionNetworkCorporation,AdventureComedyShounen
1092,"Hikari to Mizu no Daphne Specials",2,"['J.C.Staff', 'Sentai Filmworks']","['Action', 'Comedy', 'Ecchi']",Special,2004-2004,PG-13,J.C.StaffSentaiFilmworks,ActionComedyEcchi
2443,"Gokujou Seitokai (Best Student Council)",26,"['J.C.Staff', 'Konami', 'ADV Films']","['Comedy', 'School', 'Slice of Life']",TV,2005-2005,PG-13,J.C.StaffKonamiADVFilms,ComedySchoolSliceofLife
309,"Muramasa",1,"['Tezuka Productions']","['Historical', 'Horror', 'Martial Arts', 'Samurai']",Movie,1987-1987,PG-13,TezukaProductions,HistoricalHorrorMartialArtsSamurai
2629,"Pupipo!",15,"['TV Tokyo', 'AIC Plus+']","['Comedy', 'School', 'Slice of Life', 'Supernatural']",TV,2013-2014,PG,TVTokyoAICPlus+,ComedySchoolSliceofLifeSupernatural
2874,"Arata Kangatari (Arata: The Legend)",12,"['TV Tokyo', 'Satelight', 'Lantis', 'JM animation']","['Adventure', 'Fantasy', 'Shounen']",TV,2013-2013,PG-13,TVTokyoSatelightLantisJManimation,AdventureFantasyShounen
2906,"Star Ocean EX",26,"['Studio Deen']","['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']",TV,2001-2001,PG-13,StudioDeen,AdventureFantasySci-FiShounen
2719,"Mushi-Uta",12,"['WOWOW', 'Beat Frog', 'Broccoli', 'Studio Tulip', 'Rakuonsha', 'Zexcs']","['Action', 'Fantasy', 'Sci-Fi']",TV,2007-2007,PG-13,WOWOWBeatFrogBroccoliStudioTulipRakuonshaZexcs,ActionFantasySci-Fi
2900,"Inu to Hasami wa Tsukaiyou (Dog &amp; Scissors)",12,"['Gonzo', 'Avex Entertainment', 'Sentai Filmworks']","['Comedy', 'Supernatural']",TV,2013-2013,PG-13,GonzoAvexEntertainmentSentaiFilmworks,ComedySupernatural
820,"Twilight Q",2,"['Ajia-Do', 'Studio Deen']","['Mystery', 'Psychological', 'Romance', 'Sci-Fi']",OVA,1987-1987,None,Ajia-DoStudioDeen,MysteryPsychologicalRomanceSci-Fi
2571,"Kyoukai no Rinne (TV) (RIN-NE)",25,"['Shogakukan Productions', 'NHK', 'Brains Base', 'NHK Enterprises', 'Sentai Filmworks']","['Comedy', 'Romance', 'School', 'Shounen', 'Supernatural']",TV,2015-2015,PG-13,ShogakukanProductionsNHKBrainsBaseNHKEnterprisesSentaiFilmworks,ComedyRomanceSchoolShounenSupernatural
2967,"Chiisana Kyojin Microman",52,"['Studio Pierrot', 'TV Tokyo', 'Yomiko Advertising']","['Action', 'Adventure', 'Comedy', 'Kids', 'Mecha', 'Sci-Fi', 'Shounen', 'Super Power']",TV,1999-1999,G,StudioPierrotTVTokyoYomikoAdvertising,ActionAdventureComedyKidsMechaSci-FiShounenSuperPower
2155,"Hagure Yuusha no Aesthetica (Aesthetica of a Rogue Hero)",12,"['Arms', 'Genco', 'FUNimation Entertainment', 'Lantis', 'Media Factory', 'AT-X', 'Showgate']","['Action', 'Ecchi', 'Fantasy', 'Super Power']",TV,2012-2012,R+,ArmsGencoFUNimationEntertainmentLantisMediaFactoryAT-XShowgate,ActionEcchiFantasySuperPower
999,"Suisei no Gargantia Specials",2,"['Production I.G', 'Viz Media']","['Action', 'Mecha', 'Sci-Fi']",Special,2013-2013,PG-13,ProductionI.GVizMedia,ActionMechaSci-Fi
2694,"Cooking Papa",151,"['Eiken']","['Comedy', 'Slice of Life']",TV,1992-1995,G,Eiken,ComedySliceofLife
2411,"Kagaku Ninja-tai Gatchaman (Battle of the Planets)",105,"['ADV Films', 'Tatsunoko Productions', 'Sentai Filmworks']","['Action', 'Adventure', 'Sci-Fi', 'Shounen']",TV,1972-1974,PG-13,ADVFilmsTatsunokoProductionsSentaiFilmworks,ActionAdventureSci-FiShounen
1193,"Space☆Dandy 2nd Season Picture Drama",3,"['Bones', 'Bandai Visual']","['Comedy', 'Sci-Fi', 'Space']",Special,2014-2015,PG-13,BonesBandaiVisual,ComedySci-FiSpace
107,"Inazuma Eleven Go vs. Danball Senki W Movie",1,"['Oriental Light and Magic']","['Action', 'Kids', 'Mecha', 'Sports']",Movie,2012-2012,G,OrientalLightandMagic,ActionKidsMechaSports
749,"Bannou Bunka Neko-Musume (All Purpose Cultural Cat Girl Nuku Nuku)",6,"['Studio Fantasia', 'Starchild Records', 'ADV Films', 'Animate Film', 'Movic']","['Action', 'Adventure', 'Comedy', 'Magic', 'Mecha', 'Sci-Fi', 'Shounen']",OVA,1992-1994,PG-13,StudioFantasiaStarchildRecordsADVFilmsAnimateFilmMovic,ActionAdventureComedyMagicMechaSci-FiShounen
2312,"Pokemon Advanced Generation (Pokemon Advance)",192,"['TV Tokyo', 'Oriental Light and Magic', 'Shogakukan Productions', 'Viz Media', '4Kids Entertainment', 'The Pokemon Company International', 'TV Tokyo Music', 'Studio Jack']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",TV,2002-2006,PG,TVTokyoOrientalLightandMagicShogakukanProductionsVizMedia4KidsEntertainmentThePokemonCompanyInternationalTVTokyoMusicStudioJack,ActionAdventureComedyFantasyKids
349,"Amazing Nuts!",4,"['Studio 4°C']","['Adventure', 'Music', 'Police', 'Romance', 'Sci-Fi']",Music,2006-2006,G,Studio4°C,AdventureMusicPoliceRomanceSci-Fi
725,"eX-Driver",6,"['Bandai Visual', 'Actas', 'Genco', 'Production Reed', 'Media Blasters']","['Action', 'Adventure', 'Cars', 'Comedy', 'Sci-Fi', 'Shounen']",OVA,2000-2001,PG-13,BandaiVisualActasGencoProductionReedMediaBlasters,ActionAdventureCarsComedySci-FiShounen
1144,"Nanaka 6/17 Special (Nanaka the Distraction)",1,"['J.C.Staff', 'Genco', 'ADV Films']","['Comedy', 'Drama', 'Romance', 'Shounen', 'Slice of Life']",Special,2003-2003,PG-13,J.C.StaffGencoADVFilms,ComedyDramaRomanceShounenSliceofLife
