_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genres_Merged,ltable_Episodes,ltable_Year,ltable_Type,ltable_ProductionHouse_Merged,rtable_Title,rtable_Genres_Merged,rtable_Episodes,rtable_Year,rtable_Type,rtable_ProductionHouse_Merged
3153,1108,568,Di Gi Charat Natsuyasumi Special,Comedy,4,2001-2001,Special,TBS,Chikyuu Bouei Kazoku Special,,1,2001,DVD Special,GroupTAC
3267,1021,573,Pokemon Diamond &amp; Pearl Specials,ActionComedyFantasyKids,2,2011-2011,Special,OrientalLightandMagic,Kuragehime Specials,,4,2011,DVD Special,Brains-Base
3274,1047,573,Thermae Romae Specials,ComedyHistoricalSeinen,2,2012-2012,Special,DLE,Kuragehime Specials,,4,2011,DVD Special,Brains-Base
3378,1172,574,No Game No Life Specials,EcchiFantasyGame,6,2014-2014,Special,MadhouseMediaFactorySentaiFilmworks,Princess Jellyfish Specials,,4,2011,DVD Special,Brains-Base
3507,942,620,Maria-sama ga Miteru 3rd Specials,Comedy,5,2006-2007,Special,StudioDeenRightStuf,Fullmetal Alchemist: Brotherhood Specials,ActionComedyDramaFantasy,4,2009 - 2010,DVD Special,Bones
3589,2941,633,Shining Tears X Wind,ActionAdventureFantasyMagic,13,2007-2007,TV,StudioDeenSegaDiscotek,Shining Tears X Wind,AdventureFantasyMagicPersoninaStrangeWorld,13,2007,TV,StudioDeen
3594,1211,640,Panty &amp; Stocking in Sanitarybox,ActionComedyDementiaEcchiParodySupernatural,1,2011-2011,Special,GainaxFUNimationEntertainment,Panty & Stocking in Sanitary Box,ComedyCrude,1,2011,DVD Special,Gainax
3602,2487,645,Ginga Senpuu Braiger (Galactic Whirlwind Braiger),ActionAdventureMechaSpace,39,1981-1982,TV,ToeiAnimationKokusaiEigasha,Ginga Tetsudou 999: Kimi wa Senshi no You ni Ikirareruka!!,BasedonaMangaSciFiTrains,1,1979,TV Special,ToeiAnimation
3641,1720,661,Tatakae! Chou Robot Seimeitai Transformers,AdventureMechaSci-FiShounen,98,1985-1987,TV,ToeiAnimationHasbroAKOM,Beast Wars II Chou Seimeitai Transformers,RobotsSciFi,43,1998 - 1999,TV,AshiProductions
3673,1405,664,Hanamonogatari,ComedyMysterySupernatural,5,2014-2014,TV,AniplexShaftKodanshaAniplexofAmerica,Aru Machi Kado no Monogatari,DramaLoveTriangleMusicOriginalWork,1,1962,Movie,MushiPro
3800,1744,687,Shigofumi (Shigofumi: Letters from the Departed),DramaFantasyPsychologicalSupernaturalThriller,12,2008-2008,TV,J.C.StaffBandaiVisualGencoSentaiFilmworks,Shigofumi Picture Drama,,7,2008,DVD Special,
3802,267,688,Choujin Locke (Locke the Superman),ActionSci-FiSuperPower,1,1984-1984,Movie,NipponAnimationDiscotek,Transformers: Choujin Master Force,MechaSciFi,47,1988 - 1989,TV,ToeiAnimation
3924,980,704,Galaxy Angel 3 Specials,ComedySci-Fi,2,2003-2003,Special,BroccoliBandaiEntertainment,Bakuretsu Tenshi: Infinity Specials,,3,2007,DVD Special,GONZO
3926,988,704,Jinrui wa Suitai Shimashita Specials,FantasySeinen,6,2012-2013,Special,AICA.S.T.A.SentaiFilmworks,Bakuretsu Tenshi: Infinity Specials,,3,2007,DVD Special,GONZO
4060,1208,705,Gundam Build Fighters Specials,ComedyMecha,3,2014-2014,Special,Sunrise,Burst Angel: Infinity Specials,,3,2007,DVD Special,GONZO
4173,2319,723,Geragera Boes Monogatari (Ox Tales),ComedyKids,52,1987-1988,TV,TVTokyoTelescreenBV,"Maoyuu Maou Yuusha: Kono Monogatari wa, Daniku Dake Dewanai no ja!",BasedonaLightNovelDemonsFantasyMedievalRecapRomance,1,2013,TV Special,ARMS
4182,2680,723,Chirorin Mura Monogatari (Nutsberry Town),KidsSliceofLife,170,1992-1993,TV,NHKNHKEnterprises,"Maoyuu Maou Yuusha: Kono Monogatari wa, Daniku Dake Dewanai no ja!",BasedonaLightNovelDemonsFantasyMedievalRecapRomance,1,2013,TV Special,ARMS
4339,1025,759,Senyuu. Specials,ActionComedyFantasyShounen,4,2013-2013,Special,OrdetLIDENFILMS,Angel Tales Specials,AngelsFantasyHaremOriginalWorkRomance,2,2002,DVD Special,Wonderfarm
4345,1043,759,Mokke Specials (Mokke Special Episodes),MysterySliceofLifeSupernatural,2,2008-2008,Special,MadhouseKodansha,Angel Tales Specials,AngelsFantasyHaremOriginalWorkRomance,2,2002,DVD Special,Wonderfarm
4405,976,760,Beelzebub Specials,ActionComedyDemonsSchoolShounenSupernatural,16,2011-2012,Special,StudioPierrotOperaHouse,Heroman Specials,,3,2010 - 2011,DVD Special,Bones
4528,1119,766,Machine-Doll wa Kizutsukanai Specials,ActionEcchiFantasySchoolSeinen,6,2013-2014,Special,GencoFUNimationEntertainmentLerche,True Tears Specials,Comedy,7,2008,DVD Special,P.A.Works
4563,438,769,Isekai no Seikishi Monogatari (Tenchi Muyo! War on Geminar),ActionComedyEcchiFantasyHaremMechaSchool,13,2009-2010,OVA,AICBeSTACKFUNimationEntertainment,Ai no Wakakusa Monogatari,AmericaBasedonaNovelDramaFamilyFriendlyWorldMasterpieceTheater,48,1987,TV,NipponAnimation
4627,2904,777,Shirayuki Hime no Densetsu (The Legend of Snow White),AdventureFantasyRomance,52,1994-1995,TV,TatsunokoProductions,Dragon Quest: ~Legend of the Hero Abel~,,43,1989 - 1991,TV,
4709,1079,802,Terra e... Specials,AdventureDramaSci-Fi,3,2007 to 2008-2007 to 2008,Special,MinamiMachiBugyousho,Sky Girls Specials,,9,2007 - 2008,DVD Special,J.C.Staff
4803,1104,804,Mayoi Neko Overrun! Specials,ComedyEcchi,6,2010-2010,Special,AIC,The Eden of Grisaia Specials,BasedonaVisualNovelComedyEcchiNudity,2+,2015 - ?,DVD Special,8-Bit
5010,1226,824,Comic Party Specials,ComedyDrama,4,2003-2003,Special,OrientalLightandMagicKSS,Fight Ippatsu! Juuden-Chan!! Specials,ComedySexualContent,6,2009 - 2010,DVD Special,
5072,1123,829,Di Gi Charat Tsuyu Specials,Comedy,2,2001-2001,Special,Madhouse,Loveless Specials,,6,2005 - 2006,DVD Special,J.C.Staff
5237,1047,856,Thermae Romae Specials,ComedyHistoricalSeinen,2,2012-2012,Special,DLE,Comic Party Specials,,4,2003,DVD Special,OLM
5439,1170,876,Sky Girls Specials,ComedyMechaMilitarySci-Fi,9,2007-2008,Special,J.C.Staff,Freezing Specials,ComedyEcchiExplicitSexPantyShots,6,2011,DVD Special,A.C.G.T.
5562,2330,886,Cobra The Animation,ActionAdventureSci-FiSpace,13,2010-2010,TV,MagicBus,Kyoto Animation: Ikitaku Naru Omise-hen,Promotional,1,2012,Other,KyotoAnimation
5704,2312,922,Pokemon Advanced Generation (Pokemon Advance),ActionAdventureComedyFantasyKids,192,2002-2006,TV,TVTokyoOrientalLightandMagicShogakukanProductionsVizMedia4KidsEntertainmentThePokemonCompanyInternationalTVTokyoMusicStudioJack,Pokemon: Pikachu's Big Mysterious Adventure,FamilyFriendlyMonsters,1,2010,Other,OLM
5713,1350,924,Kaichou wa Maid-sama! (Maid-Sama!),ComedyRomanceSchoolShoujo,26,2010-2010,TV,J.C.StaffGeneonUniversalEntertainmentTBSHakusenshaHalfH.PStudioSentaiFilmworks,Okusama ga Seito Kaichou!,BasedonaMangaComedyEcchiNudityRomanceSchoolLifeSexualContentSuddenGirlfriendAppearance,12,2015,TV,Seven
5980,976,980,Beelzebub Specials,ActionComedyDemonsSchoolShounenSupernatural,16,2011-2012,Special,StudioPierrotOperaHouse,Teekyuu 2 Specials,BasedonaMangaComedy,2,2013,DVD Special,Mappa
5996,1037,980,Chicchana Yukitsukai Sugar Specials,ComedyMagicShoujoSliceofLife,2,2003-2003,Special,J.C.StaffKadokawaShotenBroccoliTBSPioneerLDCSentaiFilmworks,Teekyuu 2 Specials,BasedonaMangaComedy,2,2013,DVD Special,Mappa
6121,378,1025,Nihon Animator Mihonichi (Japan Anima(tor)&#039;s Exhibition),ActionDementiaEcchiFantasyMechaMilitaryMusicSchoolSci-FiSpaceSupernatural,35,2014-2015,ONA,StudioKharaDwangoTrigger,Pictures at an Exhibition,Collections,1,1966,Movie,MushiPro
6180,1720,1034,Tatakae! Chou Robot Seimeitai Transformers,AdventureMechaSci-FiShounen,98,1985-1987,TV,ToeiAnimationHasbroAKOM,Transformers: Beast Wars Neo,ActionRobotsSciFi,35,1999,TV,AshiProductions
6516,1066,1092,Shirobako Specials,AdventureComedy,2,2015-2015,Special,P.A.WorksWarnerBros.,Joshikousei Specials,,3,2006,DVD Special,ARMS
6565,956,1093,Potemayo Specials,ComedySchoolSeinen,6,2007-2008,Special,J.C.Staff,High School Girls Specials,,3,2006,DVD Special,ARMS
6610,1916,1096,Ookami Shoujo to Kuro Ouji (Wolf Girl and Black Prince),ComedyRomanceSchoolShoujo,12,2014-2014,TV,VAPYomiuriTelecastingCorporationTYOAnimationsSentaiFilmworksNipponTelevisionNetworkCorporation,Ookami Shoujo to Kuro Ouji Recap,BasedonaMangaRecap,1,2014,TV Special,TYOAnimations
6672,2789,1099,Hikari no Densetsu,MusicRomanceShoujoSports,19,1986-1986,TV,TatsunokoProductions,Hikari no Densetsu,LoveTriangleRomanceShoujoSports,19,1986,TV,TatsunokoPro.
6771,208,1124,Yuu☆Yuu☆Hakusho (Movie) (Yu Yu Hakusho: The Movie),ActionAdventureComedy,1,1993-1993,Movie,StudioPierrotFUNimationEntertainmentMediaBlasters,Persona 3 The Movie 1: Spring of Birth,BasedonaVideoGame,1,2013,Movie,AICA.S.T.A.
6851,1302,1149,Shirobako,ComedyDrama,24,2014-2015,TV,SotsuAgencyP.A.WorksMovicSentaiFilmworksWarnerBros.TheKlockWorxShowgate,Shirobako,AnimeIndustryComedyDramaOriginalWorkOtakuCultureSliceofLifeWorkLife,24,2014 - 2015,TV,P.A.Works
6960,1829,1169,Gokinjo Monogatari (Neighborhood Stories),ComedyDramaRomanceSliceofLife,50,1995-1996,TV,ToeiAnimation,Ajimu Kaigan Monogatari,DramaMusicRomance,4,2001,TV Special,Actas
7060,2802,1203,Bakuto Sengen Daigander (Daigunder),AdventureMechaSci-FiShounen,39,2002-2002,TV,TVTokyoNipponAnimationVictorEntertainment,Bakuto Sengen Daigander,ActionMechaSciFiShounenTournaments,39,2002,TV,Brains-Base
7109,2620,1231,Andes Shounen Pepero no Bouken (Adventures of Pepero the Andes Boy),Adventure,26,1975-1976,TV,WakoProductions,Pokemon Best Wishes! Season 2: Dekorora Adventure - Iris vs. Ibuki! Dragon Master e no Michi!!,,1,2014,TV Special,OLM
7153,1058,1248,Shakugan no Shana S Specials,ComedyParody,4,2009-2010,Special,J.C.StaffFUNimationEntertainment,Moetan Specials,,2,2007 - 2008,DVD Special,Actus
7161,2610,1249,Kinnikuman II Sei (Ultimate Muscle),ActionComedyMartialArtsSci-FiShounenSports,51,2002-2002,TV,TVTokyoToeiAnimation4KidsEntertainmentYomiuriAdvertising,Kinnikuman Nisei: Ultimate Muscle,,13,2004,TV,ToeiAnimation
7337,1287,1281,JoJo no Kimyou na Bouken (TV) (JoJo&#039;s Bizarre Adventure),ActionAdventureShounenSupernatural,26,2012-2013,TV,YomikoAdvertisingDavidProductionWarnerBros.TheKlockWorx,Fantastic Adventure of Yohko: Leda,ActionAdventureFantasyMechaMusicPersoninaStrangeWorldSciFi,1,1985,OVA,
7348,2969,1281,Gokuu no Daibouken (Adventures of the Monkey King),ComedyFantasy,39,1967-1967,TV,MushiProductions,Fantastic Adventure of Yohko: Leda,ActionAdventureFantasyMechaMusicPersoninaStrangeWorldSciFi,1,1985,OVA,
7384,2976,1295,Yume no Hoshi no Button Nose (Dream Star Button Nose),AdventureKids,26,1985-1986,TV,TVAsahiSanrio,New Dream Hunter Rem: Yume no Kishitachi,,1,1990,OVA,StudioZain
7389,255,1300,Hello Kitty no Cinderella (Hello Kitty in Cinderella),FantasyKids,1,1989-1989,Movie,TohoCompany,The iDOLM@STER: Onegai Cinderella,Idols,1,2013,Music Video,A-1Pictures
7566,1104,1320,Mayoi Neko Overrun! Specials,ComedyEcchi,6,2010-2010,Special,AIC,Yama no Susume 2 Specials,,2,2014 - 2015,DVD Special,8-Bit
7712,1940,1347,Ai no Wakakusa Monogatari (Tales of Little Women),DramaHistoricalSliceofLife,48,1987-1987,TV,NipponAnimationSabanEntertainment,Wakakusa Monogatari,AmericaDrama,1,1980,TV Special,ToeiAnimation
7734,376,1354,Katekyo Hitman Reborn! Special,ComedyShounen,1,2010-2010,ONA,Artland,Giant Robo: Ginrei Special,ComedyFuturisticMechaParodySciFi,3,1994 - 1995,OVA,
7744,951,1354,Shigofumi Special (Shigofumi: Letters from the Departed Special),DramaFantasyPsychologicalThriller,1,2008-2008,Special,J.C.StaffBandaiVisualGencoSentaiFilmworks,Giant Robo: Ginrei Special,ComedyFuturisticMechaParodySciFi,3,1994 - 1995,OVA,
7868,1321,1393,Bakemonogatari,MysteryRomanceSupernaturalVampire,15,2009-2010,TV,AniplexShaftKodanshaAniplexofAmerica,Umi Monogatari ~Anata ga Ite Kureta Koto~,FantasyMagicalGirl,12,2009,TV,Zexcs
7897,3095,1393,Ai no Wakakusa Yama Monogatari,Comedy,12,1999-1999,TV,Gainax,Umi Monogatari ~Anata ga Ite Kureta Koto~,FantasyMagicalGirl,12,2009,TV,Zexcs
8063,58,1449,Transformers the Movie (Transformers: The Movie),ActionMecha,1,1986-1986,Movie,ToeiAnimationHasbro,Dr. Slump Movie 4: The Secret of Nanaba Castle,,1,1984,Movie,ToeiAnimation
8070,3029,1449,Meme Iroiro Yume no Tabi (The Many Dream Journeys of Meme),AdventureKidsSci-Fi,127,1983-1985,TV,NipponAnimationTBS,Dr. Slump Movie 4: The Secret of Nanaba Castle,,1,1984,Movie,ToeiAnimation
8077,905,1451,Nodame Cantabile Finale Special,ComedyJoseiMusicRomance,1,2010-2010,Special,J.C.Staff,Onii-chan no Koto Nanka Zenzen Suki Janain Dakara ne!! Special,Ecchi,1,2011,DVD Special,Zexcs
8307,1114,1486,Fate/kaleid liner Prisma☆Illya Specials,ComedyFantasyMagic,5,2013-2014,Special,SilverLink,Kyoshiro to Towa no Sora Specials,,6,2007,DVD Special,
8318,68,1487,Ginga Tetsudou 999 (Movie),AdventureDramaFantasySci-FiSpace,1,1979-1979,Movie,ToeiAnimationDiscotek,Ginga Tetsudou 999: Kimi wa Haha no You ni Aiseruka!!,BasedonaMangaSciFiTrains,1,1980,Other,
8468,3107,1504,Huckleberry Finn Monogatari,Adventure,26,1994-1995,TV,Nonefoundaddsome,Genji Monogatari Sennenki,BasedonaNovelDramaFeudalJapanJoseinoitaminARomanceSexualContent,11,2009,TV,TezukaProductions
8664,1119,1543,Machine-Doll wa Kizutsukanai Specials,ActionEcchiFantasySchoolSeinen,6,2013-2014,Special,GencoFUNimationEntertainmentLerche,Yuyushiki Specials,Comedy,6,2013,DVD Special,KinemaCitrus
8721,942,1553,Maria-sama ga Miteru 3rd Specials,Comedy,5,2006-2007,Special,StudioDeenRightStuf,Isshuukan Friends. Specials,,12,2014,DVD Special,Brains-Base
8749,1082,1553,Toaru Kagaku no Railgun Specials,Comedy,2,2010-2010,Special,J.C.Staff,Isshuukan Friends. Specials,,12,2014,DVD Special,Brains-Base
8802,2348,1564,Anyamal Tantei Kiruminzoo,ComedyMagicShoujo,50,2009-2010,TV,HalFilmMakerSatelight,Anyamaru Tantei Kiruminzuu,MagicMagicalGirlOriginalWorkShoujo,50,2009 - 2010,TV,HalFilmMaker
8828,1597,1570,Space Cobra (Space Adventure Cobra),ActionAdventureSci-FiSpace,31,1982-1983,TV,TokyoMovieShinshaRightStuf,Adventures of Horus: Prince of the Sun,Fantasy,1,1968,Movie,ToeiAnimation
8860,3065,1582,Fushigi no Kuni no Alice (Alice in Wonderland),AdventureFantasyKids,52,1983-1984,TV,NipponAnimation,Fushigi no Kuni no Alice,BasedonaNovelFantasy,52,1983 - 1984,TV,NipponAnimation
8945,2904,1606,Shirayuki Hime no Densetsu (The Legend of Snow White),AdventureFantasyRomance,52,1994-1995,TV,TatsunokoProductions,"Kimba, the White Lion",AnimalProtagonistsFamilyFriendly,52,1965 - 1966,TV,MushiPro
9001,2610,1619,Kinnikuman II Sei (Ultimate Muscle),ActionComedyMartialArtsSci-FiShounenSports,51,2002-2002,TV,TVTokyoToeiAnimation4KidsEntertainmentYomiuriAdvertising,Kinnikuman: Kessen!! Shichinin no Choujin Tai Uchuu Nobushi,,1,1984,TV Special,ToeiAnimation
9045,283,1642,Gokinjo Monogatari the Movie (Neighborhood Story The Movie),ComedyDramaRomance,1,1996-1996,Movie,Nonefoundaddsome,Detective Conan Movie 16: The Eleventh Striker,,1,2012,Movie,TMSEntertainment
9269,520,1674,New Prince of Tennis OVA vs. Genius10,ActionComedyShounenSports,10,2014-2015,OVA,ProductionI.GNAS,Prince of Tennis - National Championship,SportsTennis,13,2006 - 2007,OVA,M.S.C.
9327,1829,1686,Gokinjo Monogatari (Neighborhood Stories),ComedyDramaRomanceSliceofLife,50,1995-1996,TV,ToeiAnimation,Entaku no Kishi Monogatari: Moero Arthur,,30,1979 - 1980,TV,ToeiAnimation
9415,1178,1687,Teekyuu 4 Specials,ComedySchoolShounenSports,2,2015-2015,Special,DAXProductionEarthStarEntertainmentMillepensee,Accel World Specials,BasedonaLightNovelComedy,8,2012 - 2013,DVD Special,J.C.Staff
9591,889,1717,Tenshi Kinryouku (Angel Sanctuary),ActionDramaRomanceShoujoSupernatural,3,2000-2000,OVA,BandaiVisualHalFilmMakerAICLantisMediaBlasters,Angel Sanctuary,AngelsBasedonaMangaIncestReincarnationViolence,3,2000,OVA,HalFilmMaker
9768,1238,1745,Itsuka Tenma no Kuro Usagi Special,ComedyEcchi,1,2012-2012,Special,Zexcs,Argento Soma Special,OriginalWork,1,2002,DVD Special,Sunrise
9798,949,1752,Ao no Exorcist Movie Special,ComedyParody,1,2012-2012,Special,Nonefoundaddsome,Ryuugajou Nanana no Maizoukin Specials,,6,2014,DVD Special,A-1Pictures
9804,998,1752,Shakugan no Shana Specials,ComedyParody,4,2006-2007,Special,J.C.StaffGeneonUniversalEntertainmentFUNimationEntertainment,Ryuugajou Nanana no Maizoukin Specials,,6,2014,DVD Special,A-1Pictures
9812,1050,1752,Mai-HiME Specials (My-Hime Specials),Comedy,27,2005-2010,Special,Sunrise,Ryuugajou Nanana no Maizoukin Specials,,6,2014,DVD Special,A-1Pictures
9871,1026,1753,Mai-Otome Specials,ComedyDramaFantasyMagic,9,2006-2006,Special,Sunrise,Nanana's Buried Treasure Specials,,6,2014,DVD Special,A-1Pictures
9875,1043,1753,Mokke Specials (Mokke Special Episodes),MysterySliceofLifeSupernatural,2,2008-2008,Special,MadhouseKodansha,Nanana's Buried Treasure Specials,,6,2014,DVD Special,A-1Pictures
9943,2967,1757,Chiisana Kyojin Microman,ActionAdventureComedyKidsMechaSci-FiShounenSuperPower,52,1999-1999,TV,StudioPierrotTVTokyoYomikoAdvertising,Chiisana Viking Vickie,AdventureBasedonaNovelComedyHistorical,78,1974 - 1975,TV,NipponAnimation
9981,170,1775,Pandane to Tamago-hime (Mr. Dough and the Egg Princess),AdventureFantasy,1,2010-2010,Movie,StudioGhibli,"Pokemon: Diancie, Princess of the Diamond Domain",FamilyFriendlyFantasyMonstersShounen,1,2014,Web,OLM
10047,1017,1777,Bakuman. 2 Special,Comedy,1,2012-2012,Special,J.C.Staff,11eyes Special,BasedonanErogeBasedonaVisualNovelComedyEcchiFantasyNuditySeinenSuperpowers,1,2010,DVD Special,Dogakobo
10118,868,1789,Burn Up! W,ComedyEcchiMechaSci-FiShounen,4,1996-1996,OVA,AIC,Burn Up Scramble,ActionEcchiPantyShotsPolice,12,2004,TV,AICSpirits
10300,1164,1816,Morita-san wa Mukuchi. Specials,ComedySchoolSliceofLife,2,2012-2012,Special,DAXProductionTakeshoboSeven,Grisaia no Kajitsu Specials,,6,2014 - 2015,DVD Special,8-Bit
10479,2861,1842,Transformers Galaxy Force (Transformers Cybertron),AdventureMechaSci-FiShounen,52,2005-2005,TV,GonzoHasbro,Eiga Beast Wars Second Chou Seimeitai Transformers Lio Convoy Kiki Ippatsu!,,1,1998,Movie,
10544,1961,1863,Groove Adventure Rave (Rave Master),AdventureComedyFantasyRomanceShounen,51,2001-2002,TV,StudioDeenTBSKodanshaTOKYOPOP,Pokemon: Pikachu's Great Ice Adventure,AnimalProtagonistsFamilyFriendlyFantasyMonsters,1,2008,Other,OLM
10609,759,1872,Super Robot Taisen OG The Animation,MechaSci-FiShounenSpace,3,2005-2005,OVA,BandaiVisualMediaBlasters,Ragnarok: The Animation,AdventureBasedonaVideoGameFantasyRPG,26,2004,TV,G&GEntertainment
10653,1961,1888,Groove Adventure Rave (Rave Master),AdventureComedyFantasyRomanceShounen,51,2001-2002,TV,StudioDeenTBSKodanshaTOKYOPOP,Doraemon: Nobita's Great Adventure into the Underworld,AdventureBasedonaMangaFamilyFriendlySciFi,1,1984,Movie,ShineiAnimation
10723,1503,1906,Yamada-kun to 7-nin no Majo (TV) (Yamada-kun and the Seven Witches),ComedyHaremMysteryRomanceSchoolShounenSupernatural,12,2015-2015,TV,LIDENFILMS,Jack and the Beanstalk (Koji MORIMOTO),AdventureFantasyShorts,1,1989,OVA,Studio4\xc2\xb0C
10738,1635,1910,Shoukoujo Sara (A Little Princess Sara),DramaHistoricalShoujoSliceofLife,46,1985-1985,TV,NipponAnimation,Princess Anmitsu,BasedonaManga,51,1986 - 1987,TV,StudioPierrot
