_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genres,ltable_Type,ltable_ProductionHouse,ltable_Year,rtable_Title,rtable_Genres,rtable_Type,rtable_ProductionHouse,rtable_Year,gold
2359,1127,445,Brothers Conflict Special,"['Harem', 'Romance', 'Shoujo']",Special,['Brains Base'],2014-2014,Brothers Conflict: Setsubou,"['Based on an Otome Game', 'Reverse Harem', 'Romance']",DVD Special,['Brains-Base'],2014,
2382,899,450,Usagi Drop Specials,"['Josei', 'Slice of Life']",Special,"['Production I.G', 'NIS America', 'Inc.']",2011-2012,Shin Tenchi Muyo! Specials,"['[]""']""",Other,['AIC'],1997,
2399,976,450,Beelzebub Specials,"['Action', 'Comedy', 'Demons', 'School', 'Shounen', 'Supernatural']",Special,"['Studio Pierrot', 'Opera House']",2011-2012,Shin Tenchi Muyo! Specials,"['[]""']""",Other,['AIC'],1997,
2716,1212,502,Gokukoku no Brynhildr Special (Brynhildr in the Darkness Special),"['Comedy', 'Ecchi', 'Harem', 'Sci-Fi', 'Seinen']",Special,"['VAP', 'Arms', 'Sentai Filmworks']",2014-2014,Pokemon Omega Ruby & Alpha Sapphire: Mega Special Animation,"['Family Friendly', 'Fantasy', 'Monsters', 'Promotional']",Web,['OLM'],2014,
2894,1119,508,Machine-Doll wa Kizutsukanai Specials,"['Action', 'Ecchi', 'Fantasy', 'School', 'Seinen']",Special,"['Genco', 'FUNimation Entertainment', 'Lerche']",2013-2014,Linebarrels of Iron Specials,"['[]""']""",DVD Special,['GONZO'],2010,
2912,1186,508,RahXephon Specials,"['Action', 'Drama', 'Mecha', 'Music', 'Mystery', 'Romance', 'Sci-Fi']",Special,['Bones'],2003-2004,Linebarrels of Iron Specials,"['[]""']""",DVD Special,['GONZO'],2010,
3045,122,526,Air Movie (Air: The Motion Picture),"['Drama', 'Romance', 'Supernatural']",Movie,"['Toei Animation', 'Frontier Works', 'ADV Films', 'FUNimation Entertainment', 'Visual Art&#039;s']",2005-2005,Fatal Fury: The Motion Picture,"['Action', 'Hand to Hand Combat', 'Martial Arts']",Movie,['NAS'],1994,
3104,709,549,Recorder to Randoseru,"['Comedy', 'School', 'Seinen', 'Slice of Life']",OVA,"['Takeshobo', 'Seven']",2012-2012,Recorder to Randoseru,"['Based on a Manga', 'Comedy', 'School Life', 'Slice of Life']",TV,['Seven'],2012,
3116,2451,554,Manga Sarutobi Sasuke (Ninja the Wonder Boy),"['Adventure', 'Comedy', 'Historical', 'Supernatural']",TV,['Knack Productions'],1979-1980,Jubei-chan: The Ninja Girl,"['Action', 'Comedy', 'Ninja', 'Original Work', 'Reincarnation', 'Samurai', 'Swordplay']",TV,['MADHOUSE'],1999,
3344,1025,574,Senyuu. Specials,"['Action', 'Comedy', 'Fantasy', 'Shounen']",Special,"['Ordet', 'LIDENFILMS']",2013-2013,Princess Jellyfish Specials,"['[]""']""",DVD Special,['Brains-Base'],2011,
3347,1036,574,Shin Tenchi Muyou! Specials,"['Comedy', 'Romance', 'Sci-Fi', 'Shounen']",Special,"['AIC', 'Pioneer LDC']",1997-1997,Princess Jellyfish Specials,"['[]""']""",DVD Special,['Brains-Base'],2011,
3376,1169,574,Fight Ippatsu! Juuden-chan!! Specials,"['Comedy', 'Ecchi']",Special,"['Studio Hibari', 'Media Blasters']",2009-2010,Princess Jellyfish Specials,"['[]""']""",DVD Special,['Brains-Base'],2011,
3499,903,620,Hidamari Sketch x ☆☆☆ Specials,"['Comedy', 'School', 'Slice of Life']",Special,"['Shaft', 'Lantis']",2010-2010,Fullmetal Alchemist: Brotherhood Specials,"['Action', 'Comedy', 'Drama', 'Fantasy']",DVD Special,['Bones'],2009 - 2010,
3544,1110,620,Grisaia no Kajitsu Specials,"['Comedy', 'Ecchi']",Special,['8bit'],2014-2015,Fullmetal Alchemist: Brotherhood Specials,"['Action', 'Comedy', 'Drama', 'Fantasy']",DVD Special,['Bones'],2009 - 2010,
3656,101,664,Tibet Inu Monogatari (The Tibetan Dog),['Adventure'],Movie,['Madhouse'],2011-2011,Aru Machi Kado no Monogatari,"['Drama', 'Love Triangle', 'Music', 'Original Work']",Movie,['Mushi Pro'],1962,
3806,2767,688,Transformers Micron Densetsu (Transformers Armada),"['Action', 'Mecha', 'Sci-Fi', 'Shounen']",TV,"['Actas', 'Hasbro']",2003-2003,Transformers: Choujin Master Force,"['Mecha', 'Sci Fi']",TV,['Toei Animation'],1988 - 1989,
3864,1462,697,Saiunkoku Monogatari (The Story of Saiunkoku),"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Historical', 'Romance']",TV,"['Madhouse', 'FUNimation Entertainment', 'NHK', 'Sogo Vision']",2006-2007,Nana Toshi Monogatari: Hokkyokukai Sensen,"['Drama', 'Military', 'Political', 'Post-apocalyptic', 'Sci Fi', 'War']",OVA,[''],1994,
3872,2170,697,Kousetsu Hyaku Monogatari (Requiem from the Darkness),"['Fantasy', 'Historical', 'Horror', 'Mystery', 'Psychological', 'Supernatural']",TV,['Tokyo Movie Shinsha'],2003-2003,Nana Toshi Monogatari: Hokkyokukai Sensen,"['Drama', 'Military', 'Political', 'Post-apocalyptic', 'Sci Fi', 'War']",OVA,[''],1994,
3954,1103,704,Genshiken Nidaime Specials,"['Comedy', 'Parody', 'Slice of Life']",Special,"['Production I.G', 'Starchild Records']",2013-2013,Bakuretsu Tenshi: Infinity Specials,"['[]""']""",DVD Special,['GONZO'],2007,
4343,1036,759,Shin Tenchi Muyou! Specials,"['Comedy', 'Romance', 'Sci-Fi', 'Shounen']",Special,"['AIC', 'Pioneer LDC']",1997-1997,Angel Tales Specials,"['Angels', 'Fantasy', 'Harem', 'Original Work', 'Romance']",DVD Special,['Wonderfarm'],2002,
4442,1125,760,Teekyuu 2 Specials,"['Comedy', 'School', 'Shounen', 'Sports']",Special,"['MAPPA', 'Earth Star Entertainment']",2013-2013,Heroman Specials,"['[]""']""",DVD Special,['Bones'],2010 - 2011,
4487,934,766,Ie Naki Ko Remi Specials,"['Adventure', 'Drama']",Special,['Nippon Animation'],1997-1997,True Tears Specials,['Comedy'],DVD Special,['P.A. Works'],2008,
4511,1043,766,Mokke Specials (Mokke Special Episodes),"['Mystery', 'Slice of Life', 'Supernatural']",Special,"['Madhouse', 'Kodansha']",2008-2008,True Tears Specials,['Comedy'],DVD Special,['P.A. Works'],2008,
4575,2058,769,Fuujin Monogatari (Windy Tales),"['Drama', 'Fantasy', 'School', 'Slice of Life', 'Supernatural']",TV,"['Production I.G', 'Touhouku Shinsha', 'Sentai Filmworks']",2004-2005,Ai no Wakakusa Monogatari,"['America', 'Based on a Novel', 'Drama', 'Family Friendly', 'World Masterpiece Theater']",TV,['Nippon Animation'],1987,
4979,1096,824,Needless Specials,"['Comedy', 'Ecchi', 'School']",Special,"['Madhouse', 'Sentai Filmworks']",2009-2010,Fight Ippatsu! Juuden-Chan!! Specials,"['Comedy', 'Sexual Content']",DVD Special,[''],2009 - 2010,
5150,2047,839,High School! Kimengumi (Funny Faces in High School),"['Comedy', 'Parody', 'Romance', 'School', 'Shounen']",TV,"['Studio Comet', 'Tsuchida Productions']",1985-1987,High School! Kimengumi,"['Comedy', 'School Life']",TV,['Studio Comet'],1985 - 1987,
5270,1194,856,Freezing Vibration Specials,"['Action', 'Comedy', 'Ecchi']",Special,"['FUNimation Entertainment', 'Media Factory', 'A.C.G.T.']",2013-2014,Comic Party Specials,"['[]""']""",DVD Special,['OLM'],2003,
5442,1179,876,Etotama Specials,"['Action', 'Comedy', 'Fantasy']",Special,"['Shirogumi', 'Encourage Films']",2015-2015,Freezing Specials,"['Comedy', 'Ecchi', 'Explicit Sex', 'Panty Shots']",DVD Special,['A.C.G.T.'],2011,
5443,1185,876,Kaibutsu Oujo (OVA) Specials,"['Adventure', 'Comedy', 'Horror', 'Shounen', 'Supernatural']",Special,['Tatsunoko Productions'],2010-2011,Freezing Specials,"['Comedy', 'Ecchi', 'Explicit Sex', 'Panty Shots']",DVD Special,['A.C.G.T.'],2011,
5503,1043,885,Mokke Specials (Mokke Special Episodes),"['Mystery', 'Slice of Life', 'Supernatural']",Special,"['Madhouse', 'Kodansha']",2008-2008,Grenadier Specials,"['[]""']""",DVD Special,['Group TAC'],,
5545,421,886,Ninja Slayer From Animation,['Action'],ONA,"['Starchild Records', 'FUNimation Entertainment', 'Trigger', 'Grooove']",2015-2015,Kyoto Animation: Ikitaku Naru Omise-hen,['Promotional'],Other,['Kyoto Animation'],2012,
5631,1012,911,Sekirei Special,['Comedy'],Special,"['Aniplex', 'Seven Arcs', 'FUNimation Entertainment']",2009-2009,Gargoyle of the Yoshinagas Special,"['[]""']""",DVD Special,['Studio Hibari'],,
5813,948,946,Pandora Hearts Specials,['Comedy'],Special,"['Xebec', 'Square Enix', 'flying DOG']",2009-2010,HENNEKO - The Hentai Prince and the Stony Cat Specials,"['[]""']""",DVD Special,['J.C.Staff'],2013,
5900,2229,955,Kyuuketsuhime Miyu (TV) (Vampire Princess Miyu),"['Action', 'Demons', 'Drama', 'Horror', 'Vampire']",TV,"['AIC', 'TOKYOPOP', 'Maiden Japan', 'Studio Jack']",1997-1998,Sister Princess,"['Comedy', 'Drama', 'Harem', 'Slice of Life']",TV,['Zexcs'],2001,
6018,1133,980,Isshuukan Friends. Specials,"['School', 'Slice of Life']",Special,"['Brains Base', 'Sentai Filmworks', 'TOHO animation']",2014-2014,Teekyuu 2 Specials,"['Based on a Manga', 'Comedy']",DVD Special,['Mappa'],2013,
6134,1462,1026,Saiunkoku Monogatari (The Story of Saiunkoku),"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Historical', 'Romance']",TV,"['Madhouse', 'FUNimation Entertainment', 'NHK', 'Sogo Vision']",2006-2007,Ai Shoujo Pollyanna Monogatari,"['America', 'Based on a Novel', 'World Masterpiece Theater']",TV,['Nippon Animation'],1986,
6258,1023,1049,Fantastic Children Special,['Slice of Life'],Special,['Nippon Animation'],2005-2005,Naruto Special 1: Find the Crimson Four-leaf Clover!,"['Action', 'Comedy', 'Ninja', 'Romance', 'Shounen']",TV Special,['Studio Pierrot'],2003,
6344,2256,1060,Sora no Manimani (At The Mercy of The Sky),"['Comedy', 'Romance', 'School', 'Slice of Life']",TV,"['Sony Pictures Entertainment', 'Marvelous Entertainment', 'Lantis', 'Studio Comet', 'Pony Canyon', 'AT-X', 'Delphi Sound']",2009-2009,Sora no Manimani Specials,['Slice of Life'],DVD Special,['Studio Comet'],2009,
6361,933,1066,Aa! Megami-sama! (TV) Specials,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']",Special,"['Bandai Visual', 'AIC', 'Media Blasters', 'NYAV Post']",2005-2005,Inugami-san to Nekoyama-san Special,"['Based on a Manga', 'Comedy', 'Shoujo-ai', 'Slice of Life']",DVD Special,['Seven'],2014,
6378,1064,1066,Ichigo 100% Special 2 (Strawberry 100%),"['Comedy', 'Ecchi', 'Romance', 'Shounen']",Special,"['None found', 'add some']",2005-2005,Inugami-san to Nekoyama-san Special,"['Based on a Manga', 'Comedy', 'Shoujo-ai', 'Slice of Life']",DVD Special,['Seven'],2014,
6739,1238,1110,Itsuka Tenma no Kuro Usagi Special,"['Comedy', 'Ecchi']",Special,['Zexcs'],2012-2012,Aria the Origination Special,"['Based on a Manga', 'Slice of Life']",DVD Special,['Hal Film Maker'],2008,
7110,2628,1231,Pokemon Best Wishes! (Pokemon: Black &amp; White),"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",TV,"['TV Tokyo', 'Oriental Light and Magic', 'Viz Media', 'MediaNet', 'Half H.P Studio', 'The Pokemon Company International', 'Studio Jack']",2010-2012,Pokemon Best Wishes! Season 2: Dekorora Adventure - Iris vs. Ibuki! Dragon Master e no Michi!!,"['[]""']""",TV Special,['OLM'],2014,
7347,2620,1281,Andes Shounen Pepero no Bouken (Adventures of Pepero the Andes Boy),['Adventure'],TV,['Wako Productions'],1975-1976,Fantastic Adventure of Yohko: Leda,"['Action', 'Adventure', 'Fantasy', 'Mecha', 'Music', 'Person in a Strange World', 'Sci Fi']",OVA,[''],1985,
7385,3029,1295,Meme Iroiro Yume no Tabi (The Many Dream Journeys of Meme),"['Adventure', 'Kids', 'Sci-Fi']",TV,"['Nippon Animation', 'TBS']",1983-1985,New Dream Hunter Rem: Yume no Kishitachi,"['[]""']""",OVA,['Studio Zain'],1990,
7442,931,1319,Hidamari Sketch Specials,"['Comedy', 'School', 'Slice of Life']",Special,"['Shaft', 'Lantis', 'Sentai Filmworks']",2007-2007,Encouragement of Climb 2 Specials,"['[]""']""",DVD Special,['8-Bit'],2014 - 2015,
7698,283,1347,Gokinjo Monogatari the Movie (Neighborhood Story The Movie),"['Comedy', 'Drama', 'Romance']",Movie,"['None found', 'add some']",1996-1996,Wakakusa Monogatari,"['America', 'Drama']",TV Special,['Toei Animation'],1980,
7813,630,1383,Shin Captain Tsubasa,"['Action', 'Shounen', 'Sports']",OVA,"['Nippon Animation', 'Studio Comet', 'NAS', 'Fuji TV']",1989-1990,Captain Tsubasa: Asu ni Mukatte Hashire!,"['Soccer', 'Sports']",Movie,[''],1986,
7935,1214,1402,Ai Tenshi Densetsu Wedding Peach Specials,"['Adventure', 'Comedy', 'Magic', 'Romance', 'Shoujo']",Special,"['KSS', 'Studio Jack']",1995-1995,Wedding Peach DX,"['Based on a Manga', 'Magical Girl', 'Shoujo']",OVA,[''],1996 - 1997,
7952,2284,1403,Uchuu Densetsu Ulysses 31 (Ulysses 31),"['Action', 'Adventure', 'Sci-Fi', 'Space']",TV,"['Tokyo Movie Shinsha', 'TMS Entertainment', 'DiC Entertainment']",1981-1982,Ai Tenshi Densetsu Wedding Peach DX,"['Based on a Manga', 'Magical Girl', 'Shoujo']",OVA,[''],1996 - 1997,
8149,2864,1458,Gegege no Kitarou (1985),"['Comedy', 'Supernatural']",TV,['Toei Animation'],1985-1988,GeGeGe no Kitarou (1971),"['Japanese Mythology', 'Supernatural']",TV,['Toei Animation'],1971 - 1972,
8408,1857,1500,Puchi Puri Yuushi (Petite Princess Yucie),"['Comedy', 'Fantasy', 'Magic', 'Shoujo']",TV,['Gainax'],2002-2003,Fairy Princess Minky Momo: Yume no Naka no Rondo,['Fantasy'],OVA,['Ashi Productions'],1985,
8782,1227,1553,eX-Driver the Movie Specials,['Comedy'],Special,"['Bandai Visual', 'Genco']",2002-2002,Isshuukan Friends. Specials,"['[]""']""",DVD Special,['Brains-Base'],2014,
8803,3130,1565,Akikan!,"['Comedy', 'Ecchi', 'Fantasy', 'Romance']",TV,"['Brains Base', 'Half H.P Studio', 'Sentai Filmworks']",2009-2009,Akikan!,"['Based on a Light Novel', 'Comedy', 'Ecchi', 'Seinen', 'Sudden Girlfriend Appearance', 'Superpowers']",TV,['Brains-Base'],2009,
8861,3081,1582,Fushigi na Koala Blinky (Noozles),"['Adventure', 'Comedy', 'Fantasy', 'Kids']",TV,['Nippon Animation'],1984-1984,Fushigi no Kuni no Alice,"['Based on a Novel', 'Fantasy']",TV,['Nippon Animation'],1983 - 1984,
8871,1057,1584,Dual Parallel! Trouble Adventures Special,"['Comedy', 'Drama', 'Harem', 'Mecha', 'Romance', 'Sci-Fi']",Special,['AIC'],1999-1999,Wonderful Adventures of Nils,"['Adventure', 'Countryside', 'Europe', 'Family Friendly']",TV,['Studio Pierrot'],1980 - 1981,
8946,193,1607,Uchuu Senkan Yamato (Movie) (Space Battleship Yamato),"['Drama', 'Military', 'Sci-Fi', 'Space']",Movie,"['None found', 'add some']",1977-1977,Yamato Takeru,"['Adventure', 'Comedy', 'Sci Fi']",TV,['Nippon Animation'],1994,
8980,3116,1615,Himitsukessha Taka no Tsume (Eagle Talon),"['Comedy', 'Parody', 'Super Power']",TV,"['Kaeruotoko Shokai', 'DLE']",2006-2006,Anime Himitsu no Hanazono,['Based on a Novel'],TV,['Aubec'],1991 - 1992,
9034,1339,1639,Aria The Natural,"['Fantasy', 'Sci-Fi', 'Slice of Life']",TV,"['Hal Film Maker', 'Right Stuf']",2006-2006,Aria the OVA: Arietta,"['Based on a Manga', 'Slice of Life']",OVA,['Hal Film Maker'],2007,
9103,283,1646,Gokinjo Monogatari the Movie (Neighborhood Story The Movie),"['Comedy', 'Drama', 'Romance']",Movie,"['None found', 'add some']",1996-1996,Detective Conan Movie 10: The Private Eyes' Requiem,"['Detectives', 'Mystery', 'Thriller']",Movie,['TMS Entertainment'],2006,
9146,998,1651,Shakugan no Shana Specials,"['Comedy', 'Parody']",Special,"['J.C.Staff', 'Geneon Universal Entertainment', 'FUNimation Entertainment']",2006-2007,Shiki Specials,"['Explicit Violence', 'Gore', 'Horror', 'Psychological', 'Supernatural', 'Vampires']",DVD Special,['Daume'],2011,
9480,1448,1701,Azumanga Daioh (Azumanga Daioh: The Animation),"['Comedy', 'School', 'Slice of Life']",TV,"['J.C.Staff', 'Genco', 'ADV Films', 'Lantis', 'Imagica', 'Azumanga Daioh Production Committee', 'TV Tokyo Music', 'Cosmic Ray']",2002-2002,Nyanpire The Animation,"['Animal Protagonists', 'Based on a Doujinshi', 'Comedy', 'Flash Animation', 'Vampires']",TV,['GONZO'],2011,
9553,1097,1706,Galaxy Angel Specials,"['Comedy', 'Sci-Fi']",Special,"['Madhouse', 'Broccoli']",2002-2002,Glass Fleet Specials,"['Outer Space', 'Sci Fi']",DVD Special,['GONZO'],,
9597,1855,1721,Monster Musume no Iru Nichijou (Everyday Life with Monster Girls),"['Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'Seinen']",TV,"['Sentai Filmworks', 'Lerche', 'TOHO animation']",2015-2015,Everyday is Sunday,"['Comedy', 'Drama', 'Police', 'Slice of Life']",OVA,['Group TAC'],1990 - 1992,
9610,2726,1730,Duel Masters Cross,"['Action', 'Adventure', 'Comedy', 'Shounen']",TV,['Shogakukan Music &amp; Digital Entertainment'],2008-2010,Gekijouban Duel Masters: Lunatic God Saga,"['Based on a Manga', 'Card Battles', 'Family Friendly', 'Shounen']",Movie,['Shogakukan Music & Digital Entertainment'],2009,
9714,2043,1738,Afro Samurai,"['Action', 'Adventure', 'Samurai']",TV,"['Gonzo', 'Dentsu', 'FUNimation Entertainment', 'Victor Entertainment', 'Pony Canyon', 'Fuji TV']",2007-2007,Samurai Warriors,"['Action', 'Based on a Video Game', 'Feudal Japan', 'Historical']",TV,['Tezuka Productions'],2015,
9902,1169,1753,Fight Ippatsu! Juuden-chan!! Specials,"['Comedy', 'Ecchi']",Special,"['Studio Hibari', 'Media Blasters']",2009-2010,Nanana's Buried Treasure Specials,"['[]""']""",DVD Special,['A-1 Pictures'],2014,
9979,11,1775,Kaguya-hime no Monogatari (The Tale of the Princess Kaguya),"['Fantasy', 'Historical']",Movie,"['Studio Ghibli', 'GKids']",2013-2013,"Pokemon: Diancie, Princess of the Diamond Domain","['Family Friendly', 'Fantasy', 'Monsters', 'Shounen']",Web,['OLM'],2014,
10424,1057,1820,Dual Parallel! Trouble Adventures Special,"['Comedy', 'Drama', 'Harem', 'Mecha', 'Romance', 'Sci-Fi']",Special,['AIC'],1999-1999,The Adventures of Scamper the Penguin,['Animal Protagonists'],OVA,[''],1986 - 1987,
10597,1825,1866,Tetsujin 28-gou (2004) (Tetsujin 28),"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",TV,['Genco'],2004-2004,Tetsujin 28-gou (1980),['Mecha'],TV,['TMS Entertainment'],1980 - 1981,
10739,1857,1910,Puchi Puri Yuushi (Petite Princess Yucie),"['Comedy', 'Fantasy', 'Magic', 'Shoujo']",TV,['Gainax'],2002-2003,Princess Anmitsu,['Based on a Manga'],TV,['Studio Pierrot'],1986 - 1987,
10749,376,1911,Katekyo Hitman Reborn! Special,"['Comedy', 'Shounen']",ONA,['Artland'],2010-2010,Asobi ni Iku yo! Asobi ni Oide Special,['Comedy'],DVD Special,['AIC PLUS+'],2011,
10767,984,1911,HeatGuy J Special,"['Action', 'Adventure', 'Mecha', 'Police', 'Sci-Fi']",Special,"['Bandai Visual', 'Satelight', 'FUNimation Entertainment']",2003-2003,Asobi ni Iku yo! Asobi ni Oide Special,['Comedy'],DVD Special,['AIC PLUS+'],2011,
10801,831,1916,Haikyuu!! Quest Picture Drama,"['Comedy', 'Fantasy', 'Game', 'Shounen']",OVA,"['Production I.G', 'Bandai Namco Games']",2014-2014,Ikoku Meiro no Croisée Picture Drama,['Picture Drama'],DVD Special,['Satelight'],2011,
10843,2666,1936,Fight Ippatsu! Juuden-chan!! (Charger Girl Ju-den Chan),"['Comedy', 'Ecchi', 'Sci-Fi', 'Shounen']",TV,"['Avex Entertainment', 'Genco', 'Studio Hibari', 'Media Blasters', 'Mobcast']",2009-2009,Hamtaro Movie 3: Ham Ham Gran Prix Aurora Tani no Kiseki: Ribbon-chan Kiki Ippatsu,"['Animal Protagonists', 'Family Friendly']",Movie,['TMS Entertainment'],2003,
10933,2785,1944,Ai Tenshi Densetsu Wedding Peach (Wedding Peach),"['Adventure', 'Comedy', 'Magic', 'Romance', 'Shoujo']",TV,"['Oriental Light and Magic', 'KSS', 'ADV Films', 'NAS', 'Studio Jack']",1995-1996,Choujyuu Densetsu Gestalt,"['Action', 'Adventure', 'Based on a Manga', 'Comedy', 'Dragons', 'Fantasy', 'Magic']",OVA,['EG Film'],1997,
