_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genres_Merged,ltable_Episodes,ltable_Year,ltable_Type,ltable_ProductionHouse_Merged,rtable_Title,rtable_Genres_Merged,rtable_Episodes,rtable_Year,rtable_Type,rtable_ProductionHouse_Merged
1528,400,182,Bishoujo Senshi Sailor Moon Crystal,DemonsMagicRomanceShoujo,26,2014-2015,ONA,ToeiAnimationStarchildRecordsVizMediaKodansha,Pocket Monsters Crystal: Raikou Ikazuchi no Densetsu,ActionFamilyFriendlyShounen,1,2001,TV Special,OLM
1548,1148,183,Kämpfer für die Liebe,ActionComedyEcchiShoujoAiSuperPower,2,2011-2011,Special,J.C.StaffNomadLantisDAXProductionSentaiFilmworks,Kampfer fur die Liebe,ActionBasedonaLightNovelComedyEcchiGenderBenderMagicalGirl,2,2011,Other,Nomad
1585,1321,187,Bakemonogatari,MysteryRomanceSupernaturalVampire,15,2009-2010,TV,AniplexShaftKodanshaAniplexofAmerica,Ginga Tetsudou Monogatari II,,26,2006 - 2007,TV,Planet
1651,920,196,Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,ComedySeinenSliceofLife,4,2011-2011,Special,AniplexAICBuildAniplexofAmerica,Hyakka Ryouran: Samurai Girls Specials,EcchiNudityPantyShots,6,2010 - 2011,DVD Special,ARMS
2207,977,238,High School DxD Specials,ComedyDemonsEcchiHaremRomanceSchool,6,2012-2012,Special,GencoFUNimationEntertainmentLantisTNK,Hagure Yuusha no Estetica Specials,BasedonaLightNovelComedyDemonsEcchi,6,2012 - 2013,DVD Special,ARMS
2523,995,286,Shakugan no Shana Movie Special,AdventureComedyFantasyParody,1,2007-2007,Special,J.C.Staff,Amaenaideyo!! Katsu!! Special,BasedonaMangaComedyEcchiNudityPantyShots,1,2006,DVD Special,StudioDeen
2623,1405,292,Hanamonogatari,ComedyMysterySupernatural,5,2014-2014,TV,AniplexShaftKodanshaAniplexofAmerica,Licca-chan Fushigi na Fushigi na Yunia Monogatari,,2,1990,OVA,Asiadou
2669,647,302,3x3 Eyes Seima Densetsu (3x3 Eyes: Legend of the Divine Demon),ActionAdventureDemonsFantasyHorrorRomance,3,1995-1996,OVA,BandaiVisualKodanshaStudioJunio,Legend of the Galactic Heroes: Golden Wings,BasedonaNovelOuterSpaceSciFiSpaceOpera,1,1992,Movie,
2687,201,303,Aoki Densetsu Shoot! (Movie) (Blue Legend Shoot!),ActionShounenSports,1,1994-1994,Movie,Nonefoundaddsome,Ginga Eiyuu Densetsu: Ougon no Tsubasa,BasedonaNovelOuterSpaceSciFiSpaceOpera,1,1992,Movie,
2819,1462,329,Saiunkoku Monogatari (The Story of Saiunkoku),AdventureComedyDramaFantasyHistoricalRomance,39,2006-2007,TV,MadhouseFUNimationEntertainmentNHKSogoVision,Wellber no Monogatari: Sisters of Wellber,AdventureFantasyMedievalOriginalWorkPolitical,13,2007,TV,TransArtsCo.
2868,1117,336,Di Gi Charat Christmas Special,Comedy,1,2000-2000,Special,MadhouseTBSSentaiFilmworks,Di Gi Charat Nyo,,52,2003 - 2004,TV,MADHOUSE
2896,900,343,Gekkan Shoujo Nozaki-kun Specials,ComedyRomanceSchool,6,2014-2015,Special,DogaKoboMediaFactory,Tokyo Ravens Specials,,3,2013 - 2014,Web,
3056,955,360,Toshokan Sensou Special,ActionComedyDramaMilitaryRomance,1,2008-2008,Special,ProductionI.G,All Purpose Cultural Cat Nuku Nuku Special 1,BasedonaManga,1,2003,DVD Special,AshiProductions
3406,1114,406,Fate/kaleid liner Prisma☆Illya Specials,ComedyFantasyMagic,5,2013-2014,Special,SilverLink,Ikkitousen: Xtreme Xecutor Specials,ComedyEcchiHandtoHandCombatNudity,6,2010,DVD Special,
3693,462,425,Fairy Tail OVA,ComedyEcchiFantasyMagicShounen,5,2011-2013,OVA,SatelightA-1Pictures,Fairy Musketeers Akazukin OVA,ActionFantasy,1,2005,OVA,MADHOUSE
3714,914,427,Kill la Kill Special,ActionComedySchoolSuperPower,1,2014-2014,Special,AniplexKadokawaShotenAniplexofAmericaTrigger,Koi suru Tenshi Angelique ~Kagayaki no Ashita~ Special,BasedonanOtomeGameBasedonaVisualNovel,1,2007,DVD Special,Satelight
3810,1448,432,Azumanga Daioh (Azumanga Daioh: The Animation),ComedySchoolSliceofLife,26,2002-2002,TV,J.C.StaffGencoADVFilmsLantisImagicaAzumangaDaiohProductionCommitteeTVTokyoMusicCosmicRay,Choujigen Game Neptune The Animation,ActionBasedonaVideoGameFantasySeinen,12,2013,TV,DavidProduction
4090,980,451,Galaxy Angel 3 Specials,ComedySci-Fi,2,2003-2003,Special,BroccoliBandaiEntertainment,Tenchi in Tokyo Specials,,6,1997,Other,AIC
4102,1009,451,Zombie-Loan Specials,ActionShounenSupernatural,2,2008-2008,Special,XebecNASDiscotek,Tenchi in Tokyo Specials,,6,1997,Other,AIC
4201,1007,455,Shijou Saikyou no Deshi Kenichi Specials,ActionComedyMartialArtsSchoolShounen,4,2013-2014,Special,BrainsBase,Morita-san wa Mukuchi TV Specials,ComedySchoolLife,2,2012,DVD Special,Seven
4208,1029,455,Toaru Kagaku no Railgun S Specials,Comedy,2,2013-2013,Special,J.C.Staff,Morita-san wa Mukuchi TV Specials,ComedySchoolLife,2,2012,DVD Special,Seven
4536,1030,507,Galaxy Angel Z Special,ComedySci-Fi,1,2002-2002,Special,BroccoliBandaiEntertainment,Kurogane no Linebarrels Specials,,2,2010,DVD Special,GONZO
4559,1110,507,Grisaia no Kajitsu Specials,ComedyEcchi,6,2014-2015,Special,8bit,Kurogane no Linebarrels Specials,,2,2010,DVD Special,GONZO
4692,1239,508,Robot Girls Z Specials,ComedyParody,3,2014-2014,Special,ToeiAnimationNipponColumbiaLandQstudios,Linebarrels of Iron Specials,,2,2010,DVD Special,GONZO
4827,1053,524,Renkin San-kyuu Magical? Pokaan Specials,ComedyEcchiMagicParodyVampire,3,2006-2006,Special,RemicGencoLantisMediaFactory,All Purpose Cultural Cat Nuku Nuku Special 2,BasedonaManga,1,2003,DVD Special,AshiProductions
4944,1703,539,Tsubasa Chronicle 2nd Season (Tsubasa Chronicle 2nd Series),ActionAdventureDramaFantasyMysteryRomanceShounenSupernatural,26,2006-2006,TV,BeeTrainFUNimationEntertainmentNHKNHKEnterprises,Chain Chronicle,,8,2014,OVA,
5028,995,563,Shakugan no Shana Movie Special,AdventureComedyFantasyParody,1,2007-2007,Special,J.C.Staff,Dr. Slump Movie 1: Arale-chan Hello! Fushigi Shima,,1,1981,Movie,ToeiAnimation
5094,986,569,Kindaichi Shounen no Jikenbo Specials,MysteryShounen,2,2007-2007,Special,ToeiAnimation,The Daichis: Earth's Defense Family Special,,1,2001,DVD Special,GroupTAC
5152,940,571,Tonari no Seki-kun Specials,ComedySchoolSeinen,2,2014-2014,Special,MediaFactoryShin-EiAnimation,Akuma no Riddle Special,BasedonaManga,1,2014,DVD Special,Diomedea
5275,1194,573,Freezing Vibration Specials,ActionComedyEcchi,6,2013-2014,Special,FUNimationEntertainmentMediaFactoryA.C.G.T.,Kuragehime Specials,,4,2011,DVD Special,Brains-Base
5379,2618,574,UFO Princess Valkyrie (UFO Ultramaiden Valkyrie),ComedyEcchiMagicSci-Fi,12,2002-2002,TV,ADVFilmsMediaFactory,Princess Jellyfish Specials,,4,2011,DVD Special,Brains-Base
5417,180,585,Mahoujin Guru Guru Movie (Magical Circle Guru Guru Movie),AdventureComedyFantasyMagicShounen,1,1996-1996,Movie,NipponAnimation,Detective Conan Movie 8: Magician of the Silver Sky,DetectivesMystery,1,2004,Movie,TMSEntertainment
5659,1097,646,Galaxy Angel Specials,ComedySci-Fi,2,2002-2002,Special,MadhouseBroccoli,Galaxy Express 999: Can You Live Like A Warrior?,BasedonaMangaSciFiTrains,1,1979,TV Special,ToeiAnimation
5674,1118,650,Doraemon and Itchy the Stray,ComedyKidsSci-FiShounen,1,1987-1987,Special,AsatsuDK,Doraemon: Nobita's Fantastical Three Musketeers,,1,1994,Movie,ShineiAnimation
5706,711,658,Green Legend Ran,AdventureDramaSci-Fi,3,1992-1993,OVA,AICPioneerLDC,Monster Farm: Legend e no Michi,ActionAdventureFantasyMonster-of-the-weekPersoninaStrangeWorldShounen,25,2000,TV,TMSEntertainment
5901,2974,677,Rokumon Tengai Mon Colle Knights,AdventureComedyFantasyKidsMagicParody,51,2000-2000,TV,StudioDeen,Space Knight Tekkaman,ActionAdventureAliensMechaOuterSpaceSciFi,26,1975,TV,TatsunokoPro.
5984,985,694,Amagami SS+ Plus Specials,Romance,6,2012-2012,Special,AIC,Kanokon Specials,EcchiNuditySexualContent,12,2008,DVD Special,XEBEC
6071,2893,702,Time Bokan,AdventureComedyMecha,61,1975-1976,TV,TatsunokoProductions,Time Bokan Series: Yattodetaman,ActionAdventure,52,1981 - 1982,TV,TatsunokoPro.
6153,1130,704,Teekyuu 3 Specials,ComedySchoolShounenSports,2,2014-2014,Special,MAPPAEarthStarEntertainment,Bakuretsu Tenshi: Infinity Specials,,3,2007,DVD Special,GONZO
6262,1194,705,Freezing Vibration Specials,ActionComedyEcchi,6,2013-2014,Special,FUNimationEntertainmentMediaFactoryA.C.G.T.,Burst Angel: Infinity Specials,,3,2007,DVD Special,GONZO
6317,1038,714,Uta Kata Special,DramaFantasyMagicSchool,1,2005-2005,Special,HalFilmMakerSentaiFilmworksgimik,Nanaka 6/17 Special,,1,2003,DVD Special,J.C.Staff
6356,1909,717,Akazukin Chacha (Red Riding Hood Chacha),AdventureComedyFantasyMagicRomanceShoujo,74,1994-1995,TV,StudioGallopNAS,Fairy Musketeers Akazukin TV,AdventureFamilyFriendlyFantasyMagicalGirl,39,2006 - 2007,TV,MADHOUSE
6537,1168,744,Chikyuu Bouei Kazoku Special,ComedyKidsMechaSchoolSuperPower,1,2001-2001,Special,BandaiVisualGroupTAC,Umineko no Naku Koro ni Specials,Comedy,26,2009 - 2010,DVD Special,StudioDeen
6565,254,750,UFO Robo Grendizer tai Great Mazinger,MechaSci-Fi,1,1976-1976,Movie,DynamicPlanning,Mazinger Z vs Dr. Hell,ActionMecha,1,1974,Movie,ToeiAnimation
6922,2185,769,Ginga Tetsudou Monogatari (The Galaxy Railways),ActionAdventureDramaSci-FiSpace,26,2003-2004,TV,FUNimationEntertainmentPlanetGingaYaStudioKyuumaTrilogyFutureStudio,Ai no Wakakusa Monogatari,AmericaBasedonaNovelDramaFamilyFriendlyWorldMasterpieceTheater,48,1987,TV,NipponAnimation
7001,2336,777,Kachou Ouji (Legend of Black Heaven),AdventureComedyMusicSci-FiSliceofLife,13,1999-1999,TV,AICPioneerLDC,Dragon Quest: ~Legend of the Hero Abel~,,43,1989 - 1991,TV,
7071,616,800,Tetsuwan Birdy (Birdy the Mighty),ActionComedySci-FiShounen,4,1996-1997,OVA,MadhouseBandaiVisualCentralParkMedia,Tetsuwan Atom,ActionBasedonaMangaRobots,52,1980 - 1981,TV,MushiPro
7097,979,802,Bakuman. 3 Specials,Comedy,2,2013-2013,Special,J.C.Staff,Sky Girls Specials,,9,2007 - 2008,DVD Special,J.C.Staff
7103,991,802,Sabagebu! Specials,ActionComedyMilitaryShoujo,6,2014-2015,Special,LantisPierrotPlus,Sky Girls Specials,,9,2007 - 2008,DVD Special,J.C.Staff
7510,1220,824,Souten no Ken Specials,ActionHistoricalMartialArtsShounen,4,2007-2007,Special,TVAsahiAPPP,Fight Ippatsu! Juuden-Chan!! Specials,ComedySexualContent,6,2009 - 2010,DVD Special,
7531,903,829,Hidamari Sketch x ☆☆☆ Specials,ComedySchoolSliceofLife,2,2010-2010,Special,ShaftLantis,Loveless Specials,,6,2005 - 2006,DVD Special,J.C.Staff
7629,201,833,Aoki Densetsu Shoot! (Movie) (Blue Legend Shoot!),ActionShounenSports,1,1994-1994,Movie,Nonefoundaddsome,Chou Robot Seimeitai Transformers Micron Densetsu,MechaSciFi,52,2003,TV,Actas
7770,3106,854,Himitsu no Akko-chan (Secrets of Akko-chan),MagicSchoolShoujo,94,1969-1970,TV,ToeiAnimation,Nagato Yuki-chan no Shoushitsu,BasedonaMangaRomanceSchoolLifeSliceofLife,16,2015,TV,Satelight
7993,2893,875,Time Bokan,AdventureComedyMecha,61,1975-1976,TV,TatsunokoProductions,Time Bokan: Royal Revival,ActionComedyMechaSciFi,2,1993 - 1994,OVA,TatsunokoPro.
8146,904,885,Shiki Specials,HorrorMysterySupernaturalVampire,2,2011-2011,Special,AniplexDaumeFUNimationEntertainment,Grenadier Specials,,8,,DVD Special,GroupTAC
8491,2563,927,TaoTao Ehonkan Sekai Doubutsu Banashi,AdventureComedyFantasyKids,52,1983-1985,TV,Nonefoundaddsome,Atarashii Sekai,,1,2008,Music Video,
8611,1101,945,Di Gi Charat Ohanami Special,Comedy,4,2001-2001,Special,TBS,Hentai Ouji to Warawanai Neko. Specials,,13,2013,DVD Special,J.C.Staff
8666,952,946,Higurashi no Naku Koro ni Kai Specials,ComedyParody,24,2007-2008,Special,GeneonUniversalEntertainmentStudioDeen,HENNEKO - The Hentai Prince and the Stony Cat Specials,,13,2013,DVD Special,J.C.Staff
8708,1152,946,Seirei Tsukai no Blade Dance Specials,ActionFantasySchoolSupernatural,6,2014-2015,Special,TNK,HENNEKO - The Hentai Prince and the Stony Cat Specials,,13,2013,DVD Special,J.C.Staff
9025,1058,980,Shakugan no Shana S Specials,ComedyParody,4,2009-2010,Special,J.C.StaffFUNimationEntertainment,Teekyuu 2 Specials,BasedonaMangaComedy,2,2013,DVD Special,Mappa
9132,1073,1002,Hurricane Live! 2032,Music,6,1988-1988,Special,AIC,New Hurricane Polymar,ActionSciFiSuperpowers,2,1996 - 1997,OVA,J.C.Staff
9395,1139,1049,Tide-Line Blue Special,AdventureDramaShounen,1,2006-2006,Special,BandaiEntertainment,Naruto Special 1: Find the Crimson Four-leaf Clover!,ActionComedyNinjaRomanceShounen,1,2003,TV Special,StudioPierrot
9840,941,1093,Baka to Test to Shoukanjuu Specials,ComedyMagicSchool,6,2010-2010,Special,FUNimationEntertainmentSilverLink,High School Girls Specials,,3,2006,DVD Special,ARMS
9861,1033,1093,Chuunibyou demo Koi ga Shitai! Ren Specials,Comedy,7,2014-2014,Special,KyotoAnimation,High School Girls Specials,,3,2006,DVD Special,ARMS
9973,1069,1098,DearS Special,ComedyEcchiHaremRomanceSci-Fi,1,2005-2005,Special,HalFilmMakerDiscotek,Doukyuusei 2 Special: Sotsugyousei,,3,1999 - 2000,OVA,PinkPineapple
10342,1017,1161,Bakuman. 2 Special,Comedy,1,2012-2012,Special,J.C.Staff,Macross 25th Anniversary Special Eizou: All That VF Macross F Version,,1,2008,Other,
10579,2603,1195,Hyakujuu-Ou GoLion (Voltron: Defender of the Universe),AdventureMechaSci-FiShounen,52,1981-1982,TV,ToeiAnimationMediaBlasters,The Ambition of Oda Nobuna Recap,Recap,1,2012,TV Special,MADHOUSE
10754,1172,1236,No Game No Life Specials,EcchiFantasyGame,6,2014-2014,Special,MadhouseMediaFactorySentaiFilmworks,Megami Kouhosei Special Curriculum,OuterSpaceSciFi,1,2002,OVA,XEBEC
11118,2223,1286,Robin Hood no Daibouken (The Great Adventures of Robin Hood),AdventureHistoricalRomance,52,1990-1992,TV,TatsunokoProductionsNHKNHKEnterprises,"Adventures of Mini-Goddess, The",BasedonaMangaComedyFantasyMagic,48,1998 - 1999,TV,OLM
11206,2782,1311,Teekyuu,ComedySchoolShounenSports,12,2012-2012,TV,MAPPAEarthStarEntertainment,Teekyuu 6,BasedonaMangaComedy,1+,2015 - ?,TV,Millepensee
11325,939,1320,Maria-sama ga Miteru Specials (Maria Watches Over Us),DramaRomanceSchoolShoujoShoujoAiSliceofLife,7,2004-2004,Special,StudioDeenRightStuf,Yama no Susume 2 Specials,,2,2014 - 2015,DVD Special,8-Bit
11500,1038,1336,Uta Kata Special,DramaFantasyMagicSchool,1,2005-2005,Special,HalFilmMakerSentaiFilmworksgimik,Tide-Line Blue Special,,1,2006,DVD Special,
11580,257,1347,Chocchan Monogatari,DramaHistoricalSliceofLife,1,1996-1996,Movie,TriangleStaff,Wakakusa Monogatari,AmericaDrama,1,1980,TV Special,ToeiAnimation
11620,3095,1347,Ai no Wakakusa Yama Monogatari,Comedy,12,1999-1999,TV,Gainax,Wakakusa Monogatari,AmericaDrama,1,1980,TV Special,ToeiAnimation
11743,612,1382,Shinmai Maou no Testament OVA,ActionEcchiFantasyHaremRomance,1,2015-2015,OVA,ProductionIMS,Shukufuku no Campanella OVA,,1,2011,OVA,AIC
11747,584,1383,Musekinin Kanchou Tylor OVA (Irresponsible Captain Tylor OVA),AdventureComedyDramaMilitarySci-FiSpace,10,1994-1996,OVA,StudioDeend-rightsRightStuf,Captain Tsubasa: Asu ni Mukatte Hashire!,SoccerSports,1,1986,Movie,
11774,122,1386,Air Movie (Air: The Motion Picture),DramaRomanceSupernatural,1,2005-2005,Movie,ToeiAnimationFrontierWorksADVFilmsFUNimationEntertainmentVisualArt&#039;s,Hana Yori Dango - The Movie,DramaIdolsJoseiRomance,1,1997,Movie,ToeiAnimation
11820,393,1393,Nisekoimonogatari,Music,1,2015-2015,ONA,Shaft,Umi Monogatari ~Anata ga Ite Kureta Koto~,FantasyMagicalGirl,12,2009,TV,Zexcs
11918,2655,1403,Idol Densetsu Eriko,Music,51,1989-1990,TV,ProductionReedYoumexBigWest,Ai Tenshi Densetsu Wedding Peach DX,BasedonaMangaMagicalGirlShoujo,4,1996 - 1997,OVA,
12106,2861,1442,Transformers Galaxy Force (Transformers Cybertron),AdventureMechaSci-FiShounen,52,2005-2005,TV,GonzoHasbro,Transformers: Cybertron,MechaSciFi,52,2005,TV,GONZO
12265,710,1465,Love Live! School Idol Project OVA,MusicSchoolSliceofLife,1,2013-2013,OVA,SunriseLantis,Araiso Private High School Student Council Executive Committee,BasedonaMangaSchoolLife,2,2002,OVA,NipponAnimation
12411,403,1486,Tokyo Ravens Specials,ShounenSupernatural,3,2013-2014,ONA,GeneonUniversalEntertainmentFUNimationEntertainmentTokyoMX,Kyoshiro to Towa no Sora Specials,,6,2007,DVD Special,
12530,1039,1496,Vampire Knight Special,ComedyShoujoVampire,1,2008-2008,Special,StudioDeenNAS,Princess Knight,AdventureFantasyShoujo,52,1967 - 1968,TV,MushiPro
12665,1386,1504,Ore Monogatari!! (My Love Story!!),ComedyRomanceShoujo,24,2015-2015,TV,MadhouseVAPSentaiFilmworksNipponTelevisionNetworkCorporation,Genji Monogatari Sennenki,BasedonaNovelDramaFeudalJapanJoseinoitaminARomanceSexualContent,11,2009,TV,TezukaProductions
12906,407,1543,Working&#039;!! Announcement Specials,Comedy,2,2011-2011,ONA,A-1Pictures,Yuyushiki Specials,Comedy,6,2013,DVD Special,KinemaCitrus
12979,1133,1543,Isshuukan Friends. Specials,SchoolSliceofLife,12,2014-2014,Special,BrainsBaseSentaiFilmworksTOHOanimation,Yuyushiki Specials,Comedy,6,2013,DVD Special,KinemaCitrus
13152,1133,1553,Isshuukan Friends. Specials,SchoolSliceofLife,12,2014-2014,Special,BrainsBaseSentaiFilmworksTOHOanimation,Isshuukan Friends. Specials,,12,2014,DVD Special,Brains-Base
13318,1961,1584,Groove Adventure Rave (Rave Master),AdventureComedyFantasyRomanceShounen,51,2001-2002,TV,StudioDeenTBSKodanshaTOKYOPOP,Wonderful Adventures of Nils,AdventureCountrysideEuropeFamilyFriendly,52,1980 - 1981,TV,StudioPierrot
13326,2485,1584,Dennou Boukenki Webdiver (Brain Adventure Record Webdiver),AdventureMechaSci-FiShounen,52,2001-2002,TV,NipponAnimationRadix,Wonderful Adventures of Nils,AdventureCountrysideEuropeFamilyFriendly,52,1980 - 1981,TV,StudioPierrot
13355,1519,1591,Mobile Suit Gundam Seed,ActionDramaMechaMilitaryRomanceSci-FiSpace,50,2002-2003,TV,SunriseAsatsuDKMainichiBroadcastingBandaiEntertainmentSonyMusicEntertainmentAtelierMusa,Mobile Suit Gundam ZZ: Gundam Frag.,MechaSciFi,2,2009,DVD Special,Sunrise
13729,208,1646,Yuu☆Yuu☆Hakusho (Movie) (Yu Yu Hakusho: The Movie),ActionAdventureComedy,1,1993-1993,Movie,StudioPierrotFUNimationEntertainmentMediaBlasters,Detective Conan Movie 10: The Private Eyes' Requiem,DetectivesMysteryThriller,1,2006,Movie,TMSEntertainment
13758,887,1651,Megami Kouhosei Special Curriculum,ActionMechaMilitarySci-FiSpace,1,2002-2002,OVA,BandaiVisual,Shiki Specials,ExplicitViolenceGoreHorrorPsychologicalSupernaturalVampires,2,2011,DVD Special,Daume
13773,942,1651,Maria-sama ga Miteru 3rd Specials,Comedy,5,2006-2007,Special,StudioDeenRightStuf,Shiki Specials,ExplicitViolenceGoreHorrorPsychologicalSupernaturalVampires,2,2011,DVD Special,Daume
13838,1165,1651,Ryuugajou Nanana no Maizoukin (TV) Specials,Comedy,6,2014-2014,Special,A-1Pictures,Shiki Specials,ExplicitViolenceGoreHorrorPsychologicalSupernaturalVampires,2,2011,DVD Special,Daume
13845,1178,1651,Teekyuu 4 Specials,ComedySchoolShounenSports,2,2015-2015,Special,DAXProductionEarthStarEntertainmentMillepensee,Shiki Specials,ExplicitViolenceGoreHorrorPsychologicalSupernaturalVampires,2,2011,DVD Special,Daume
14029,2171,1686,Popolocrois Monogatari,AdventureFantasy,25,1998-1999,TV,BeeTrainProductionI.GTVTokyoAniplex,Entaku no Kishi Monogatari: Moero Arthur,,30,1979 - 1980,TV,ToeiAnimation
14032,2461,1686,Heisei Inu Monogatari Bow (Heisei Period Dog Tale Bow),AdventureComedy,40,1993-1994,TV,NipponAnimationDaiichiKoshoCo.,Entaku no Kishi Monogatari: Moero Arthur,,30,1979 - 1980,TV,ToeiAnimation
14117,1147,1687,Freezing Specials,ActionComedyEcchi,6,2011-2011,Special,FUNimationEntertainmentMediaFactory,Accel World Specials,BasedonaLightNovelComedy,8,2012 - 2013,DVD Special,J.C.Staff
14151,1825,1697,Tetsujin 28-gou (2004) (Tetsujin 28),AdventureMechaSci-FiShounen,26,2004-2004,TV,Genco,Tetsujin 28-gou,BlackandWhiteMechaSciFi,96,1963 - 1965,TV,Tele-CartoonJapan
14268,2125,1701,Kurokami The Animation (Black God),ActionMartialArtsSuperPower,23,2009-2009,TV,SunriseBandaiVisualTVAsahiSquareEnixBandaiEntertainmentSentaiFilmworksNYAVPost,Nyanpire The Animation,AnimalProtagonistsBasedonaDoujinshiComedyFlashAnimationVampires,12,2011,TV,GONZO
14605,1053,1745,Renkin San-kyuu Magical? Pokaan Specials,ComedyEcchiMagicParodyVampire,3,2006-2006,Special,RemicGencoLantisMediaFactory,Argento Soma Special,OriginalWork,1,2002,DVD Special,Sunrise
14733,1066,1752,Shirobako Specials,AdventureComedy,2,2015-2015,Special,P.A.WorksWarnerBros.,Ryuugajou Nanana no Maizoukin Specials,,6,2014,DVD Special,A-1Pictures
14939,1178,1755,Teekyuu 4 Specials,ComedySchoolShounenSports,2,2015-2015,Special,DAXProductionEarthStarEntertainmentMillepensee,Danchigai Special,BasedonaMangaComedySliceofLife,1,2015,DVD Special,CreatorsinPack
15000,2685,1772,Ginyuu Mokushiroku Meine Liebe Wieder,DramaHistorical,13,2006-2006,TV,BeeTrainGeneonUniversalEntertainmentMarvelousEntertainment,Ginyu Mokushiroku: Meine Liebe,EuropePolitical,13,2004 - 2005,TV,BEETRAIN
15134,2908,1781,Chouon Senshi Borgman,ActionDemonsSci-FiShounen,35,1988-1988,TV,ProductionReedAsahiProductionYomiuriAdvertising,Uchuu no Senshi,MilitarySciFi,6,1988,OVA,Sunrise
15307,1224,1812,Thermae Romae x Yoyogi Animation Gakuin Collaboration,ComedyHistoricalSeinen,1,2012-2012,Special,DLE,Kyoto Animation: Kasa-hen,Promotional,1,2012,Other,KyotoAnimation
15654,1090,1834,Sangokushi (1985),Historical,1,1985-1985,Special,Shin-EiAnimation,Yawaraka Sangokushi Tsukisase!! Ryofuko-chan,BasedonaMangaComedyEcchiPantyShotsRomanceoftheThreeKingdoms,4,2007 - 2008,OVA,ChaosProject
15863,2405,1866,Tetsujin 28-gou (1980) (The New Adventures of Gigantor),ActionMecha,51,1980-1981,TV,TokyoMovieShinshaStudioJack,Tetsujin 28-gou (1980),Mecha,51,1980 - 1981,TV,TMSEntertainment
16206,274,1937,Onigamiden (Legend of the Millennium Dragon),ActionDemonsSupernatural,1,2011-2011,Movie,StudioPierrotSonyMusicEntertainmentAtelierMusa,Dragon Slayer: The Legend of Heroes,ActionBasedonaVideoGameDemonsDragonsFantasyMagicRPGSwordplayViolence,2,1992,OVA,TokyoKids
16230,776,1939,Shin Cutey Honey,AdventureComedyEcchiMagicSci-Fi,8,1994-1995,OVA,ToeiVideoDynamicPlanning,Cutey Honey Flash Movie,,1,1997,Movie,
