_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genres_Merged,ltable_Episodes,ltable_Year,ltable_Type,ltable_ProductionHouse_Merged,rtable_Title,rtable_Genres_Merged,rtable_Episodes,rtable_Year,rtable_Type,rtable_ProductionHouse_Merged,gold
30637,67,6433,Toaru Hikuushi e no Tsuioku (The Princess and the Pilot),AdventureMilitaryRomance,1,2011-2011,Movie,MadhouseTVTokyoTMSEntertainmentMovicNISAmericaInc.CycloneGraphicsinc,Kaleido Star: The Amazing Princess Without a Smile,,1,2004,OVA,GONZO,0
4405,976,760,Beelzebub Specials,ActionComedyDemonsSchoolShounenSupernatural,16,2011-2012,Special,StudioPierrotOperaHouse,Heroman Specials,,3,2010 - 2011,DVD Special,Bones,0
2070,1374,398,Princess Tutu,ComedyMagicRomanceShoujo,38,2002-2003,TV,HalFilmMakerADVFilmsMemory-TechGANSISMarvelousAQL,Suddenly Princess,ComedyFantasy,3,1997,OVA,J.C.Staff,0
10979,781,1974,Mobile Suit SD Gundam&#039;s Counterattack,ComedyMechaParodyShounen,2,1989-1989,OVA,Sunrise,Mobile Suit SD Gundam Mk II,ComedyMechaParody,3,1989,OVA,Sunrise,1
53750,2732,1391,Nobunaga the Fool,ActionHistoricalMechaSci-Fi,24,2014-2014,TV,TVTokyoSatelightLantisMediaFactorySentaiFilmworks,Nobunaga the Fool,ActionMechaSciFi,24,2014,TV,Satelight,1
31894,903,6674,Hidamari Sketch x ___ Specials,ComedySchoolSliceofLife,2,2010-2010,Special,ShaftLantis,Kuroshitsuji 2 Specials,,6,2010 - 2011,DVD Special,A-1Pictures,0
20620,1013,4006,Solty Rei Specials,ComedyDrama,2,2006-2007,Special,GonzoAICTVAsahiFUNimationEntertainment,Selector Infected WIXOSS Specials,BasedonaCardGameComedyPictureDrama,3,2014,DVD Special,J.C.Staff,0
50813,2996,1436,Ring ni Kakero 1,ActionShounenSports,12,2004-2004,TV,ToeiAnimation,Ring ni Kakero 1,ActionBasedonaMangaBoxingHandtoHandCombatShounenSports,12,2004,TV,ToeiAnimation,1
16080,1120,2949,Myself ; Yourself Specials,DramaRomanceSchool,2,2008-2008,Special,DogaKobo,Love Love? Specials,,4,2004,DVD Special,,0
21446,976,4334,Beelzebub Specials,ActionComedyDemonsSchoolShounenSupernatural,16,2011-2012,Special,StudioPierrotOperaHouse,Queen's Blade: Vanquished Queens Specials,EcchiEmotionalAbuseExplicitSexFantasyPhysicalAbusePiratesSexualAbuse,4,2013 - 2014,DVD Special,ARMS,0
32920,1020,6808,Tegami Bachi Reverse Specials (Letter Bee Reverse Specials),Comedy,25,2010-2011,Special,StudioPierrot,Baka to Test to Shoukanjuu Specials,ComedyEcchiOmake,6,2010,DVD Special,SILVERLINK,0
44775,3100,4463,Monkey Turn,DramaSports,25,2004-2004,TV,OrientalLightandMagic,Monkey Turn,ActionRacingSports,25,2004,TV,OLM,1
44559,3095,3650,Ai no Wakakusa Yama Monogatari,Comedy,12,1999-1999,TV,Gainax,Ai no Wakakusa Yama Monogatari,BasedonaManga,12,1999,TV,Gainax,1
13114,1519,2306,Mobile Suit Gundam Seed,ActionDramaMechaMilitaryRomanceSci-FiSpace,50,2002-2003,TV,SunriseAsatsuDKMainichiBroadcastingBandaiEntertainmentSonyMusicEntertainmentAtelierMusa,Mobile Suit SD Gundam Mk III,ComedyMechaNinjaParody,5,1989,OVA,Sunrise,0
38164,370,1632,Survival,DementiaDramaMusicPsychologicalSchoolSupernatural,1,1999-1999,Music,Studio4°C,Survival,Psychological,1,1999,Music Video,Studio4\xc2\xb0C,1
20761,1833,4075,Perrine Monogatari,DramaHistoricalShoujoSliceofLife,53,1978-1978,TV,NipponAnimationBandaiVisual,Tokyo Daigaku Monogatari,ComedyDramaMatureThemesRomanceSchoolLife,2,2004,OVA,,0
14906,1204,2733,Bakusou Kyoudai Let&#039;s &amp; Go Special,AdventureCarsShounenSports,1,1996-1996,Special,ProductionI.GXebec,Code Geass: Lelouch of the Rebellion Special Edition - Black Rebellion,Recap,1,2008,OVA,,0
11471,2241,2069,Bosco Daibouken (Bosco Adventure),AdventureFantasyKids,26,1986-1987,TV,NipponAnimation,Dr. Slump Movie 2: Hoyoyo Uchuu Daibouken,,1,1982,Movie,ToeiAnimation,0
52425,2690,9410,Teekyuu 5,ComedyShounenSports,12,2015-2015,TV,EarthStarEntertainmentMillepensee,Teekyuu 5,BasedonaMangaComedy,12,2015,TV,Millepensee,1
29784,64,6287,Memories,DramaHorrorPsychologicalSci-Fi,3,1995-1995,Movie,MadhouseStudio4°C,Memories,CollectionsSciFi,3,1995,OVA,Studio4\xc2\xb0C,1
51951,2677,1353,Re-Kan!,ComedySchoolSeinen,13,2015-2015,TV,TBSSentaiFilmworksPierrotPlus,Re-Kan!,BasedonaMangaComedySchoolLifeSupernatural,13,2015,TV,PierrotPlus,1
46915,3018,920,Nanami-chan 3rd Series,ComedyKids,16,2006-2006,TV,Robot,Nanami-chan 3rd Series,AnimalProtagonistsFamilyFriendly,16,2006,TV,GroupTAC,1
27112,1067,5754,Anime Tenchou x Touhou Project,FantasyMagic,1,2010-2010,Special,ufotable,Project 758,,Other ,,Other,,0
26133,897,5511,Durarara!! Specials,ActionComedySupernatural,2,2010-2011,Special,AniplexBrainsBaseAniplexofAmerica,Macross Fufonfia Specials,ComedyParody,3,2013,DVD Special,Comedy,0
20802,2507,4101,Super Seisyun Brothers,ComedyJoseiSliceofLife,14,2013-2013,TV,AICAICPlus+,Amada Anime Series: Super Mario Brothers,AdventureBasedonaVideoGameFamilyFriendlyFantasy,3,1989,OVA,,0
45485,3107,3576,Huckleberry Finn Monogatari,Adventure,26,1994-1995,TV,Nonefoundaddsome,Huckleberry Finn Monogatari,AdventureAmericaBasedonaNovelFamilyFriendlySliceofLife,26,1994 - 1995,TV,,1
3594,1211,640,Panty &amp; Stocking in Sanitarybox,ActionComedyDementiaEcchiParodySupernatural,1,2011-2011,Special,GainaxFUNimationEntertainment,Panty & Stocking in Sanitary Box,ComedyCrude,1,2011,DVD Special,Gainax,1
29132,1584,6165,InuYasha,ActionAdventureComedyDemonsFantasyMagicRomanceShounenSupernatural,167,2000-2004,TV,KyotoAnimationSunriseYomiuriTelecastingCorporationVizMediaAtelierMusa,InuYasha: Kuroi Tessaiga,ActionBasedonaMangaFantasyFeudalJapan,1,2008,Movie,Sunrise,0
14237,1015,2559,Girls und Panzer Specials (Girls &amp; Panzer OVAs),MilitarySchool,6,2012-2013,Special,ActasSentaiFilmworks,The Rolling Girls Specials,ComedyOriginalWork,6,2015,DVD Special,WitStudio,0
2249,868,421,Burn Up! W,ComedyEcchiMechaSci-FiShounen,4,1996-1996,OVA,AIC,Burn Up Excess,ActionEcchiPoliceViolence,13,1997 - 1998,TV,MagicBus,0
37695,359,2090,Koi Tsubomi,FantasyMusic,1,2006-2006,Music,Nonefoundaddsome,Koi Tsubomi,FamilyFriendlyMinnanoUta,1,2006,Music Video,,1
5996,1037,980,Chicchana Yukitsukai Sugar Specials,ComedyMagicShoujoSliceofLife,2,2003-2003,Special,J.C.StaffKadokawaShotenBroccoliTBSPioneerLDCSentaiFilmworks,Teekyuu 2 Specials,BasedonaMangaComedy,2,2013,DVD Special,Mappa,0
31342,1226,6562,Comic Party Specials,ComedyDrama,4,2003-2003,Special,OrientalLightandMagicKSS,Black Lagoon Specials,ComedyParody,7,2009 - 2010,DVD Special,MADHOUSE,0
49414,3057,1061,Juusenshi Gulkeeva,ActionFantasyMechaSuperPower,26,1995-1995,TV,SunriseTVTokyoMusic,Juusenshi Gulkeeva,Reincarnation,26,1995,TV,Sunrise,1
50085,2979,1719,Heavy Object,ActionMechaMilitarySci-Fi,Unknown,2015 -2015 ,TV,J.C.StaffFUNimationEntertainmentMagicCapsuleSANZIGEN,Heavy Object,ActionBasedonaLightNovelMilitarySciFi,2+,2015 - ?,TV,J.C.Staff,1
12280,1506,2172,Hokuto no Ken (Fist of the North Star),ActionDramaMartialArtsSci-FiShounen,109,1984-1987,TV,ToeiAnimationDiscotek,Hikaru no Go: Journey to the North Star Cup,BoardGamesShounenSupernaturalTournaments,1,2004,TV Special,StudioPierrot,0
10738,1635,1910,Shoukoujo Sara (A Little Princess Sara),DramaHistoricalShoujoSliceofLife,46,1985-1985,TV,NipponAnimation,Princess Anmitsu,BasedonaManga,51,1986 - 1987,TV,StudioPierrot,0
7744,951,1354,Shigofumi Special (Shigofumi: Letters from the Departed Special),DramaFantasyPsychologicalThriller,1,2008-2008,Special,J.C.StaffBandaiVisualGencoSentaiFilmworks,Giant Robo: Ginrei Special,ComedyFuturisticMechaParodySciFi,3,1994 - 1995,OVA,,0
43145,3075,2223,Ocha-ken,ComedyKids,26,2003-2004,TV,FourSome,Ocha-ken,AnimalProtagonistsFamilyFriendly,26,2003 - 2004,TV,Foursome,1
31683,1489,6632,Dragon Ball Kai (Dragon Ball Z Kai),ActionAdventureComedyFantasyMartialArtsShounenSuperPower,97,2009-2011,TV,ToeiAnimationFUNimationEntertainment,Dragon Ball: Episode of Bardock,ActionAliensHandtoHandCombatSuperpowers,1,2011,Other,ToeiAnimation,1
50542,2989,1000,Galaxy Angel Rune,ComedySci-Fi,13,2006-2006,TV,MadhouseBandaiVisualSatelightBroccoliSunnySideUp,Galaxy Angel Rune,ComedyOuterSpaceSciFi,13,2006,TV,Satelight,1
37796,362,2284,Weekender Girl,Music,1,2012-2012,Music,Sega,Weekender Girl,Vocaloid,1,2012,Music Video,,1
38270,600,7538,Black_Rock Shooter (OVA),ActionDramaSchoolSliceofLife,1,2010-2010,OVA,RakuonshaOrdetGoodSmileCompany,Black Rock Shooter,ActionFantasyOriginalWorkSchoolLifeSliceofLife,1,2010,OVA,Ordet,1
29319,1707,6188,Accel World,ActionGameRomanceSchoolSci-FiShounen,24,2012-2012,TV,SunriseGencoVizMediaRakuonshaWarnerBros.flyingDOGASCIIMediaWorks,Accel World,ActionBasedonaLightNovelFuturisticSciFiVirtualReality,24,2012,TV,Sunrise,1
3507,942,620,Maria-sama ga Miteru 3rd Specials,Comedy,5,2006-2007,Special,StudioDeenRightStuf,Fullmetal Alchemist: Brotherhood Specials,ActionComedyDramaFantasy,4,2009 - 2010,DVD Special,Bones,0
33174,1916,6845,Ookami Shoujo to Kuro Ouji (Wolf Girl and Black Prince),ComedyRomanceSchoolShoujo,12,2014-2014,TV,VAPYomiuriTelecastingCorporationTYOAnimationsSentaiFilmworksNipponTelevisionNetworkCorporation,One Piece Movie 8: The Desert Princess and the Pirates - Adventures in Alabasta,ActionAdventureComedyPiratesShounen,1,2007,Movie,ToeiAnimation,0
39955,421,4687,Ninja Slayer From Animation,Action,26,2015-2015,ONA,StarchildRecordsFUNimationEntertainmentTriggerGrooove,Ninja Slayer From Animation,ActionBasedonaNovelComedyDramaNinjaSciFiViolence,26,2015,Web,StudioTrigger,1
42589,3070,2396,Sentimental Journey,DramaRomanceShoujo,12,1998-1998,TV,SunriseMediaBlasters,Sentimental Journey,DramaEpisodicRomance,12,1998,TV,Sunrise,1
35020,2406,7101,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,ComedyEcchiFantasyRomance,12,2013-2013,TV,AsreadSentaiFilmworks,Kimi ga Aruji de Shitsuji ga Ore de,BasedonanErogeBasedonaVisualNovelComedyEcchiHaremIncestMaidsNudityPantyShotsShoujo-ai,13,2008,TV,A.C.G.T.,0
7868,1321,1393,Bakemonogatari,MysteryRomanceSupernaturalVampire,15,2009-2010,TV,AniplexShaftKodanshaAniplexofAmerica,Umi Monogatari ~Anata ga Ite Kureta Koto~,FantasyMagicalGirl,12,2009,TV,Zexcs,0
32412,92,6724,Ghost in the Shell (2015),ActionMechaPolicePsychologicalSci-Fi,1,2015-2015,Movie,ProductionI.GFUNimationEntertainment,Ghost in the Shell: Stand Alone Complex 2nd Gig - Tachikoma Days,ComedySciFi,26,,Other,,1
17545,1153,3291,Umineko no Naku Koro ni Specials (When the Seagulls Cry Specials),ComedyParody,26,2009-2010,Special,StudioDeenFrontierWorks,Yuusha ni Nare Nakatta Ore wa Shibushibu Shuushoku o Ketsui Shimashita. Specials,BasedonaLightNovelComedy,5,2014,DVD Special,asread,0
54393,2778,5431,Ohayo! Spank,ComedySliceofLife,63,1981-1982,TV,TMSEntertainment,Ohayo! Spank,ComedyRomanceSliceofLife,63,1982,TV,TokyoMovie,1
3802,267,688,Choujin Locke (Locke the Superman),ActionSci-FiSuperPower,1,1984-1984,Movie,NipponAnimationDiscotek,Transformers: Choujin Master Force,MechaSciFi,47,1988 - 1989,TV,ToeiAnimation,0
15282,905,2789,Nodame Cantabile Finale Special,ComedyJoseiMusicRomance,1,2010-2010,Special,J.C.Staff,Muv-Luv Alternative: Total Eclipse - Pre-Climax Special,ActionAliensAmericaMechaMilitaryRecapSciFiViolence,1,2012,TV Special,Satelight,0
12855,1061,2289,Kamisama no Inai Nichiyoubi Special,FantasyMystery,1,2014-2014,Special,MadhouseSentaiFilmworks,Onii-chan Dakedo Ai Sae Areba Kankeinai yo ne! Specials,EcchiSexualContent,6,2012 - 2013,DVD Special,SILVERLINK,0
1910,487,360,Mobile Suit Gundam 00 Special Edition,ActionDramaMechaMilitarySci-Fi,3,2009-2010,OVA,SunriseSotsuAgencyAsatsuDKMainichiBroadcasting,All Purpose Cultural Cat Nuku Nuku Special 1,BasedonaManga,1,2003,DVD Special,AshiProductions,0
26222,871,5534,Mahou Tsukai Tai! vs. Shamanic Princess,ComedyFantasyMagic,1,1998-1998,OVA,BandaiVisualNYAVPost,6HP - Six Hearts Princess,,TV ,2016,TV,Poncotan,0
17401,1026,3281,Mai-Otome Specials,ComedyDramaFantasyMagic,9,2006-2006,Special,Sunrise,SoulTaker Specials,Omake,3,,DVD Special,,0
32739,1023,6778,Fantastic Children Special,SliceofLife,1,2005-2005,Special,NipponAnimation,Yawara! Special: Zutto Kimi no Koto ga,Sports,1,1996,TV Special,MADHOUSE,0
12420,793,2207,"Baby Princess 3D Paradise 0 [Love]""""",EcchiHaremSeinen,1,2011-2011,OVA,StudioComet,Eden of The East Movie II: Paradise Lost,HighStakesGamesMysterynoitaminA,1,2010,Movie,ProductionI.G,0
32919,1004,6808,Bokura wa Minna Kawaisou Specials,Comedy,14,2014-2015,Special,BrainsBase,Baka to Test to Shoukanjuu Specials,ComedyEcchiOmake,6,2010,DVD Special,SILVERLINK,0
54083,2753,2074,Bakegyamon,ActionGameShounen,51,2006-2007,TV,Radix,Bakegyamon,ActionAdventureBasedonaMangaFantasyMonstersPersoninaStrangeWorldShounen,51,2006 - 2007,TV,Radix,1
10047,1017,1777,Bakuman. 2 Special,Comedy,1,2012-2012,Special,J.C.Staff,11eyes Special,BasedonanErogeBasedonaVisualNovelComedyEcchiFantasyNuditySeinenSuperpowers,1,2010,DVD Special,Dogakobo,0
32045,573,6685,Ookami Shoujo to Kuro Ouji OVA,ComedyRomanceSchoolShoujo,1,2015-2015,OVA,VAPTYOAnimations,Ookami Shoujo to Kuro Ouji,BasedonaMangaBlackmailRomanceSchoolLifeShoujo,12,2014,TV,TYOAnimations,0
25858,57,5413,Piano no Mori,AdventureComedyDramaMusicSchool,1,2007-2007,Movie,MadhouseSonyMusicEntertainmentCycloneGraphicsinc,Piano no Mori,ClassicalMusicDramaMusicSchoolLife,1,2007,Movie,MADHOUSE,1
46233,3130,1565,Akikan!,ComedyEcchiFantasyRomance,12,2009-2009,TV,BrainsBaseHalfH.PStudioSentaiFilmworks,Akikan!,BasedonaLightNovelComedyEcchiSeinenSuddenGirlfriendAppearanceSuperpowers,12,2009,TV,Brains-Base,1
51873,2675,9219,Nobunagun,ActionShounenSupernatural,13,2014-2014,TV,VAPFUNimationEntertainmentBridgeEarthStarEntertainment,Nobunagun,ActionMonstersSciFi,13,2014,TV,Bridge,1
3096,2994,543,Mega Man (Megaman),ActionAdventureComedy,27,1994-1995,TV,ADVFilmsProductionReedCapcomDiscotek,MegaMan: NT Warrior,ActionAdventureComedySciFi,56,2002 - 2003,TV,XEBEC,0
39690,413,988,Upotte!!,ActionComedySeinen,10,2012-2012,ONA,XebecDAXProductionNipponColumbiaSentaiFilmworks,Upotte!!,ActionBasedonaMangaComedyEcchiGunfightsSchoolLife,10,2012,Web,XEBEC,1
42180,462,3762,Fairy Tail OVA,ComedyEcchiFantasyMagicShounen,5,2011-2013,OVA,SatelightA-1Pictures,Fairy Tail OVA,BasedonaMangaComedyFantasyMagicShounen,5,2011 - 2013,OVA,A-1Pictures,1
40711,432,7443,Hunter x Hunter OVA,ActionAdventureShounenSuperPower,8,2002-2002,OVA,NipponAnimation,Hunter x Hunter OVA,ActionAdventureBasedonaMangaMartialArtsShounenSuperpowers,8,2002,OVA,NipponAnimation,1
14466,1100,2615,Cluster Edge Specials,ActionFantasyMilitarySci-Fi,3,2006-2006,Special,SentaiFilmworks,Pretty Rhythm: Aurora Dream Specials,IdolsMusic,51,2011 - 2012,DVD Special,TatsunokoPro.,0
29979,992,6305,Shakugan no Shana III (Final) Specials,ComedyParody,2,2012-2012,Special,J.C.StaffFUNimationEntertainment,Nodame Cantabile: Special Lesson,ComedyJoseiRomance,1,2008,DVD Special,J.C.Staff,0
19173,559,3700,Bishoujo Senshi Sailor Moon Memorial,DemonsMagicRomanceShoujo,5,1998-1999,OVA,ToeiAnimation,Bishoujo Mobage: Mobami-chan,Promotional,1,2014,Other,StudioTrigger,0
15614,240,2858,Mori no Densetsu (Legend of the Forest),AdventureDramaFantasyMusic,1,1987-1987,Movie,TezukaProductions,Idol Densetsu Eriko,,51,1989 - 1990,TV,AshiProductions,0
27085,1162,5749,Kurogane no Linebarrels Specials (Linebarrels of Iron),ActionComedyEcchiMecha,2,2009-2009,Special,GonzoFUNimationEntertainment,The Prince of Tennis Flash Specials,FlashAnimation,5,2014 - 2015,DVD Special,ProductionI.G,0
9804,998,1752,Shakugan no Shana Specials,ComedyParody,4,2006-2007,Special,J.C.StaffGeneonUniversalEntertainmentFUNimationEntertainment,Ryuugajou Nanana no Maizoukin Specials,,6,2014,DVD Special,A-1Pictures,0
36062,1103,7247,Genshiken Nidaime Specials,ComedyParodySliceofLife,4,2013-2013,Special,ProductionI.GStarchildRecords,Letter Bee Reverse Specials,,25,2010 - 2011,DVD Special,StudioPierrot,0
22403,421,4601,Ninja Slayer From Animation,Action,26,2015-2015,ONA,StarchildRecordsFUNimationEntertainmentTriggerGrooove,Collection of Key Animation Films,JapanAnimatorsExhibitionMechaSciFiShorts,1,2014,Web,StudioKhara,0
38438,381,7221,Rain Town,Drama,1,2011-2011,ONA,Nonefoundaddsome,Rain Town,DramaOriginalWorkRobotsShorts,1,2011,Web,,1
27812,1466,5981,Mobile Suit Zeta Gundam,DramaMechaMilitarySci-FiShounenSpace,50,1985-1986,TV,SunriseBandaiEntertainment,Mobile Suit Gundam Wing,ActionMechaOuterSpacePoliticalSciFi,49,1995 - 1996,TV,Sunrise,0
30173,90,6352,Digimon Adventure Movie (Digimon: The Movie),ActionFantasyKidsSci-Fi,1,1999-1999,Movie,ToeiAnimation,JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,ActionAdventureAnimalAbuseBasedonaMangaComedyExplicitViolenceMonster-of-the-weekSupernatural,24,2015,TV,DavidProduction,0
28878,1039,6134,Vampire Knight Special,ComedyShoujoVampire,1,2008-2008,Special,StudioDeenNAS,Kidou Senshi Gundam 00 Special Edition I: Celestial Being,,1,2009,OVA,,0
22983,569,4813,School Rumble San Gakki (School Rumble Third Term),ComedyRomanceSchoolShounen,2,2008-2008,OVA,Kodansha,School Rumble: Ichi Gakki Hoshuu,ComedySchoolLife,2,2005,OVA,StudioComet,0
17380,934,3281,Ie Naki Ko Remi Specials,AdventureDrama,3,1997-1997,Special,NipponAnimation,SoulTaker Specials,Omake,3,,DVD Special,,0
10479,2861,1842,Transformers Galaxy Force (Transformers Cybertron),AdventureMechaSci-FiShounen,52,2005-2005,TV,GonzoHasbro,Eiga Beast Wars Second Chou Seimeitai Transformers Lio Convoy Kiki Ippatsu!,,1,1998,Movie,,0
31430,3142,6588,Tantei Team KZ Jiken Note,Mystery,Unknown,2015 -2015,TV,SIGNALMD,Tantei Gakuen Q,BasedonaMangaDetectivesMystery,45,2003 - 2004,TV,StudioPierrot,0
800,2884,142,Amaenaide yo!! (Ah My Buddha),ComedyEcchiHaremRomanceSupernatural,12,2005-2005,TV,StudioDeenRightStufMediaBlasters,Amaenaideyo!! Special,BasedonaMangaComedyEcchiNudity,1,2005,DVD Special,StudioDeen,1
9871,1026,1753,Mai-Otome Specials,ComedyDramaFantasyMagic,9,2006-2006,Special,Sunrise,Nanana's Buried Treasure Specials,,6,2014,DVD Special,A-1Pictures,0
